강명,항목,2019,2020,19년_중금속,20년_중금속
안성천,6가크롬 Cr6+ (㎎/ℓ),0.0,4.1666666666666665e-05,0,1
안성천,납 Pb (㎎/ℓ),0.0,0.0,0,0
안성천,비소 As (㎎/ℓ),0.0,0.0,0,0
안성천,수은 Hg (㎎/ℓ),0.0,0.0,0,0
안성천,시안 CN (㎎/ℓ),0.0,0.0,0,0
안성천,카드뮴 Cd (㎎/ℓ),0.0,0.0,0,0
영산강,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
영산강,납 Pb (㎎/ℓ),0.0,0.0,0,0
영산강,비소 As (㎎/ℓ),0.0,0.0,0,0
영산강,수은 Hg (㎎/ℓ),0.0,0.0,0,0
영산강,시안 CN (㎎/ℓ),0.0,0.0,0,0
영산강,카드뮴 Cd (㎎/ℓ),0.0,0.0,0,0
탐진강,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
탐진강,납 Pb (㎎/ℓ),0.0,0.0,0,0
탐진강,비소 As (㎎/ℓ),0.0,0.0,0,0
탐진강,수은 Hg (㎎/ℓ),0.0,0.0,0,0
탐진강,시안 CN (㎎/ℓ),0.0,0.0,0,0
탐진강,카드뮴 Cd (㎎/ℓ),0.0,0.0,0,0
태화강,6가크롬 Cr6+ (㎎/ℓ),4.1666666666666665e-05,0.0,1,0
태화강,납 Pb (㎎/ℓ),0.0,0.0,0,0
태화강,비소 As (㎎/ℓ),0.0,0.0,0,0
태화강,수은 Hg (㎎/ℓ),0.0,0.0,0,0
태화강,시안 CN (㎎/ℓ),0.0,0.0,0,0
태화강,카드뮴 Cd (㎎/ℓ),0.0,0.0,0,0
한강,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
한강,납 Pb (㎎/ℓ),0.00023159523888333336,0.00024542857033333336,1,1
한강,비소 As (㎎/ℓ),9.016666741666667e-05,0.00011061904725,1,1
한강,수은 Hg (㎎/ℓ),1.21428571e-07,1.5595238083333335e-07,1,1
한강,시안 CN (㎎/ℓ),0.0,0.0,0,0
한강,카드뮴 Cd (㎎/ℓ),4.5476190166666664e-06,1.0285714058333335e-05,1,1
형산강,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
형산강,납 Pb (㎎/ℓ),0.0,0.0,0,0
형산강,비소 As (㎎/ℓ),0.0,0.0,0,0
형산강,수은 Hg (㎎/ℓ),0.0,0.0,0,0
형산강,시안 CN (㎎/ℓ),0.0,0.0,0,0
형산강,카드뮴 Cd (㎎/ℓ),0.0,0.0,0,0
회야강,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0,0
회야강,납 Pb (㎎/ℓ),0.0,4.958333333333334e-05,0,1
회야강,비소 As (㎎/ℓ),0.001,0.0018383333333333333,1,1
회야강,수은 Hg (㎎/ℓ),0.0,4.166666666666667e-07,0,1
회야강,시안 CN (㎎/ℓ),0.0,0.0,0,0
회야강,카드뮴 Cd (㎎/ℓ),0.0,0.0,0,0
