시도명,항목,19년_중금속_평균,20년_중금속_평균,19년_중금속_중앙치,20년_중금속_중앙치,19년_중금속_최댓값,20년_중금속_최댓값,19년_중금속_최솟값,20년_중금속_최솟값
부산광역시,납 Pb (㎎/ℓ),5.184782416666666e-05,9.622222233333336e-05,5.184782416666666e-05,9.622222233333336e-05,5.184782416666666e-05,9.622222233333336e-05,5.184782416666666e-05,9.622222233333336e-05
부산광역시,비소 As (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
부산광역시,수은 Hg (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
부산광역시,시안 CN (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
부산광역시,카드뮴 Cd (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,납 Pb (㎎/ℓ),0.0002315952388833,0.0002454285703333,0.0002315952388833,0.0002454285703333,0.0002315952388833,0.0002454285703333,0.0002315952388833,0.0002454285703333
서울특별시,비소 As (㎎/ℓ),9.016666741666668e-05,0.00011061904725,9.016666741666668e-05,0.00011061904725,9.016666741666668e-05,0.00011061904725,9.016666741666668e-05,0.00011061904725
서울특별시,수은 Hg (㎎/ℓ),1.21428571e-07,1.5595238083333338e-07,1.21428571e-07,1.5595238083333338e-07,1.21428571e-07,1.5595238083333338e-07,1.21428571e-07,1.5595238083333338e-07
서울특별시,시안 CN (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,카드뮴 Cd (㎎/ℓ),4.547619016666666e-06,1.0285714058333337e-05,4.547619016666666e-06,1.0285714058333337e-05,4.547619016666666e-06,1.0285714058333337e-05,4.547619016666666e-06,1.0285714058333337e-05
세종특별자치시,6가크롬 Cr6+ (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
세종특별자치시,납 Pb (㎎/ℓ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
