"구분(1)","항목별(1)",항목별(2),2019,2020
"인천광역시","관리제외지역 비율",세대수 (％),0.0,0.0
"광주광역시","전체 행정구역",면적 (km²),501.14,501.12
"광주광역시","전체 행정구역",인구 (명),1480293,1471385
"광주광역시","전체 행정구역",동(읍·면)수 (개),95,96
"광주광역시","전체 행정구역",세대수 (가구),616485,633582
"광주광역시","생활폐기물 관리구역",면적 (km²),501.14,501.12
"광주광역시","생활폐기물 관리구역",인구 (명),1480293,1471385
"광주광역시","생활폐기물 관리구역",동(읍·면)수 (개),95,96
"광주광역시","생활폐기물 관리구역",세대수 (가구),616485,633582
"광주광역시","생활폐기물 관리제외지역",면적 (km²),0.00,0.00
"광주광역시","생활폐기물 관리제외지역",인구 (명),0,0
"광주광역시","생활폐기물 관리제외지역",동(읍·면)수 (개),0,0
"광주광역시","생활폐기물 관리제외지역",세대수 (가구),0,0
"광주광역시","관리제외지역 비율",면적비 (％),0.0,0.0
"광주광역시","관리제외지역 비율",인구비 (％),0.0,0.0
"광주광역시","관리제외지역 비율",동 (％),0.0,0.0
"광주광역시","관리제외지역 비율",세대수 (％),0.0,0.0
"대전광역시","전체 행정구역",면적 (km²),539.63,539.66
"대전광역시","전체 행정구역",인구 (명),1493979,1480777
"대전광역시","전체 행정구역",동(읍·면)수 (개),79,79
"대전광역시","전체 행정구역",세대수 (가구),635343,652783
"대전광역시","생활폐기물 관리구역",면적 (km²),539.63,539.66
"대전광역시","생활폐기물 관리구역",인구 (명),1493979,1480777
"대전광역시","생활폐기물 관리구역",동(읍·면)수 (개),79,79
"대전광역시","생활폐기물 관리구역",세대수 (가구),635343,652783
"대전광역시","생활폐기물 관리제외지역",면적 (km²),0.00,0.00
"대전광역시","생활폐기물 관리제외지역",인구 (명),0,0
"대전광역시","생활폐기물 관리제외지역",동(읍·면)수 (개),0,0
"대전광역시","생활폐기물 관리제외지역",세대수 (가구),0,0
"대전광역시","관리제외지역 비율",면적비 (％),0.0,0.0
"대전광역시","관리제외지역 비율",인구비 (％),0.0,0.0
"대전광역시","관리제외지역 비율",동 (％),0.0,0.0
"대전광역시","관리제외지역 비율",세대수 (％),0.0,0.0
"울산광역시","전체 행정구역",면적 (km²),1062.04,1062.08
"울산광역시","전체 행정구역",인구 (명),1168469,1153901
"울산광역시","전체 행정구역",동(읍·면)수 (개),56,56
"울산광역시","전체 행정구역",세대수 (가구),468659,476893
"울산광역시","생활폐기물 관리구역",면적 (km²),1062.04,1062.08
"울산광역시","생활폐기물 관리구역",인구 (명),1168469,1153901
"울산광역시","생활폐기물 관리구역",동(읍·면)수 (개),56,56
"울산광역시","생활폐기물 관리구역",세대수 (가구),468659,476893
"울산광역시","생활폐기물 관리제외지역",면적 (km²),0.00,0.00
"울산광역시","생활폐기물 관리제외지역",인구 (명),0,0
"울산광역시","생활폐기물 관리제외지역",동(읍·면)수 (개),0,0
"울산광역시","생활폐기물 관리제외지역",세대수 (가구),0,0
"울산광역시","관리제외지역 비율",면적비 (％),0.0,0.0
"울산광역시","관리제외지역 비율",인구비 (％),0.0,0.0
"울산광역시","관리제외지역 비율",동 (％),0.0,0.0
"울산광역시","관리제외지역 비율",세대수 (％),0.0,0.0
"세종특별자치시","전체 행정구역",면적 (km²),464.95,464.91
"세종특별자치시","전체 행정구역",인구 (명),346275,360907
"세종특별자치시","전체 행정구역",동(읍·면)수 (개),19,20
"세종특별자치시","전체 행정구역",세대수 (가구),135408,144275
"세종특별자치시","생활폐기물 관리구역",면적 (km²),464.95,464.91
"세종특별자치시","생활폐기물 관리구역",인구 (명),346275,360907
"세종특별자치시","생활폐기물 관리구역",동(읍·면)수 (개),19,20
"세종특별자치시","생활폐기물 관리구역",세대수 (가구),135408,144275
"세종특별자치시","생활폐기물 관리제외지역",면적 (km²),0.00,0.00
"세종특별자치시","생활폐기물 관리제외지역",인구 (명),0,0
"세종특별자치시","생활폐기물 관리제외지역",동(읍·면)수 (개),0,0
"세종특별자치시","생활폐기물 관리제외지역",세대수 (가구),0,0
"세종특별자치시","관리제외지역 비율",면적비 (％),0.0,0.0
"세종특별자치시","관리제외지역 비율",인구비 (％),0.0,0.0
"세종특별자치시","관리제외지역 비율",동 (％),0.0,0.0
"세종특별자치시","관리제외지역 비율",세대수 (％),0.0,0.0
"경기도","전체 행정구역",면적 (km²),10192.52,10195.27
"경기도","전체 행정구역",인구 (명),13653984,13774748
"경기도","전체 행정구역",동(읍·면)수 (개),543,551
"경기도","전체 행정구역",세대수 (가구),5468920,5676401
"경기도","생활폐기물 관리구역",면적 (km²),10192.52,10195.27
"경기도","생활폐기물 관리구역",인구 (명),13653984,13774748
"경기도","생활폐기물 관리구역",동(읍·면)수 (개),543,551
"경기도","생활폐기물 관리구역",세대수 (가구),5468920,5676401
"경기도","생활폐기물 관리제외지역",면적 (km²),0.00,0.00
