"구분(1)","항목별(1)",항목별(2),2020
"세종특별자치시","총계",기타,0.0
"세종특별자치시","공공처리",소계,43401.0
"세종특별자치시","공공처리",재활용,28055.9
"세종특별자치시","공공처리",소각,15345.1
"세종특별자치시","공공처리",매립,0.0
"세종특별자치시","공공처리",기타,0.0
"세종특별자치시","자가처리",소계,0.0
"세종특별자치시","자가처리",재활용,0.0
"세종특별자치시","자가처리",소각,0.0
"세종특별자치시","자가처리",매립,0.0
"세종특별자치시","자가처리",기타,0.0
"세종특별자치시","위탁처리",소계,74490.2
"세종특별자치시","위탁처리",재활용,60445.2
"세종특별자치시","위탁처리",소각,14045.0
"세종특별자치시","위탁처리",매립,0.0
"세종특별자치시","위탁처리",기타,0.0
"경기도","총계",소계,3901516.4
"경기도","총계",재활용,2140990.0
"경기도","총계",소각,1405946.4
"경기도","총계",매립,340173.9
"경기도","총계",기타,14406.1
"경기도","공공처리",소계,2746980.2
"경기도","공공처리",재활용,1096148.5
"경기도","공공처리",소각,1312805.1
"경기도","공공처리",매립,338026.6
"경기도","공공처리",기타,0.0
"경기도","자가처리",소계,6619.0
"경기도","자가처리",재활용,5746.2
"경기도","자가처리",소각,0.0
"경기도","자가처리",매립,0.0
"경기도","자가처리",기타,872.8
"경기도","위탁처리",소계,1147917.2
"경기도","위탁처리",재활용,1039095.3
"경기도","위탁처리",소각,93141.3
"경기도","위탁처리",매립,2147.3
"경기도","위탁처리",기타,13533.3
"강원도","총계",소계,667683.5
"강원도","총계",재활용,318411.0
"강원도","총계",소각,161357.0
"강원도","총계",매립,184622.3
"강원도","총계",기타,3293.2
"강원도","공공처리",소계,532678.0
"강원도","공공처리",재활용,184168.7
"강원도","공공처리",소각,161357.0
"강원도","공공처리",매립,184571.6
"강원도","공공처리",기타,2580.7
"강원도","자가처리",소계,807.8
"강원도","자가처리",재활용,807.8
"강원도","자가처리",소각,0.0
"강원도","자가처리",매립,0.0
"강원도","자가처리",기타,0.0
"강원도","위탁처리",소계,134197.7
"강원도","위탁처리",재활용,133434.5
"강원도","위탁처리",소각,0.0
"강원도","위탁처리",매립,50.7
"강원도","위탁처리",기타,712.5
"충청북도","총계",소계,659454.6
"충청북도","총계",재활용,274444.3
"충청북도","총계",소각,273847.5
"충청북도","총계",매립,110587.1
"충청북도","총계",기타,575.7
"충청북도","공공처리",소계,487793.1
"충청북도","공공처리",재활용,139702.9
"충청북도","공공처리",소각,236963.9
"충청북도","공공처리",매립,110550.6
"충청북도","공공처리",기타,575.7
"충청북도","자가처리",소계,256.7
"충청북도","자가처리",재활용,256.7
"충청북도","자가처리",소각,0.0
"충청북도","자가처리",매립,0.0
"충청북도","자가처리",기타,0.0
"충청북도","위탁처리",소계,171404.8
"충청북도","위탁처리",재활용,134484.7
"충청북도","위탁처리",소각,36883.6
"충청북도","위탁처리",매립,36.5
"충청북도","위탁처리",기타,0.0
"충청남도","총계",소계,766650.3
"충청남도","총계",재활용,317174.0
"충청남도","총계",소각,380293.1
"충청남도","총계",매립,67713.5
"충청남도","총계",기타,1469.7
"충청남도","공공처리",소계,493197.5
"충청남도","공공처리",재활용,145015.6
"충청남도","공공처리",소각,279241.1
