"구분(1)",구분(2),구분(3),구분(4),2020
"전국",재활용 가능자원 분리배출,영농폐기물,농약용기류,3070.9
"전국",재활용 가능자원 분리배출,영농폐기물,폐비닐,166927.2
"전국",재활용 가능자원 분리배출,폐식용유,소계,2955.1
"전국",재활용 가능자원 분리배출,폐전기전자제품,소계,74814.2
"전국",재활용 가능자원 분리배출,폐가구류,소계,153300.4
"전국",재활용 가능자원 분리배출,기타,소계,134134.0
"전국",재활용 가능자원 분리배출,재활용 잔재물,소계,644907.8
"전국",음식물류 폐기물 분리배출,소계,소계,4670379.0
"서울",합계,소계,소계,3177620.0
"서울",종량제방식 등 혼합배출,소계,소계,1180049.4
"서울",종량제방식 등 혼합배출,가연성,소계,1083297.3
"서울",종량제방식 등 혼합배출,가연성,폐지류,317827.8
"서울",종량제방식 등 혼합배출,가연성,폐합성수지류,251587.1
"서울",종량제방식 등 혼합배출,가연성,폐고무류,14989.0
"서울",종량제방식 등 혼합배출,가연성,폐섬유류,28651.3
"서울",종량제방식 등 혼합배출,가연성,음식물류 폐기물,40255.9
"서울",종량제방식 등 혼합배출,가연성,폐목재류,60996.1
"서울",종량제방식 등 혼합배출,가연성,기타,368990.1
"서울",종량제방식 등 혼합배출,불연성,소계,83342.0
"서울",종량제방식 등 혼합배출,불연성,폐금속류,11095.4
"서울",종량제방식 등 혼합배출,불연성,폐유리류,19656.6
"서울",종량제방식 등 혼합배출,불연성,폐토사류,4688.1
"서울",종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,4364.6
"서울",종량제방식 등 혼합배출,불연성,연탄재,1600.5
"서울",종량제방식 등 혼합배출,불연성,기타,41936.8
"서울",종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),4258.4
"서울",종량제방식 등 혼합배출,기타(배출불명등),소계,9151.7
"서울",재활용 가능자원 분리배출,소계,소계,1135338.5
"서울",재활용 가능자원 분리배출,폐지류,종이팩,19747.4
"서울",재활용 가능자원 분리배출,폐지류,기타,370052.3
"서울",재활용 가능자원 분리배출,고철류,소계,21867.7
"서울",재활용 가능자원 분리배출,금속캔,소계,27334.0
