"구분(1)","항목별(1)",항목별(2),항목별(3),2019,2020
"충청남도","지방비",지자체 시군구,자체예산,219913680,212209317
"충청남도","치관",소계,소계,0,0
"충청남도","지방채",소계,소계,0,2300000
"충청남도","세입수수료",소계,소계,50973000,45543000
"충청남도","기타",소계,소계,0,0
"전라북도","총계",소계,소계,276373661,263728726
"전라북도","국비",소계,소계,5901541,4520916
"전라북도","지방비",소계,소계,229440120,217067232
"전라북도","지방비",광역시도,자체 예산,0,0
"전라북도","지방비",지자체 시군구,시도지원예산,1418469,1647265
"전라북도","지방비",지자체 시군구,자체예산,228021651,215419967
"전라북도","치관",소계,소계,0,0
"전라북도","지방채",소계,소계,0,1255578
"전라북도","세입수수료",소계,소계,41032000,40885000
"전라북도","기타",소계,소계,0,0
"전라남도","총계",소계,소계,262603497,271506722
"전라남도","국비",소계,소계,3615019,9035159
"전라남도","지방비",소계,소계,224598478,225063563
"전라남도","지방비",광역시도,자체 예산,0,0
"전라남도","지방비",지자체 시군구,시도지원예산,1540734,8152563
"전라남도","지방비",지자체 시군구,자체예산,223057744,216911000
"전라남도","치관",소계,소계,0,0
"전라남도","지방채",소계,소계,0,0
"전라남도","세입수수료",소계,소계,34390000,37408000
"전라남도","기타",소계,소계,0,0
"경상북도","총계",소계,소계,381533211,442877626
"경상북도","국비",소계,소계,6419915,7216298
"경상북도","지방비",소계,소계,324480296,383606328
"경상북도","지방비",광역시도,자체 예산,0,0
"경상북도","지방비",지자체 시군구,시도지원예산,3846353,4340806
"경상북도","지방비",지자체 시군구,자체예산,320633943,379265522
"경상북도","치관",소계,소계,0,0
"경상북도","지방채",소계,소계,0,0
"경상북도","세입수수료",소계,소계,50593000,52055000
"경상북도","기타",소계,소계,40000,0
"경상남도","총계",소계,소계,429215426,421901460
"경상남도","국비",소계,소계,8056087,9356659
"경상남도","지방비",소계,소계,333422339,319696801
"경상남도","지방비",광역시도,자체 예산,0,0
"경상남도","지방비",지자체 시군구,시도지원예산,46813876,3223893
"경상남도","지방비",지자체 시군구,자체예산,286608463,316472908
"경상남도","치관",소계,소계,0,0
"경상남도","지방채",소계,소계,0,0
"경상남도","세입수수료",소계,소계,87737000,92848000
"경상남도","기타",소계,소계,0,0
"제주특별자치도","총계",소계,소계,205145195,227680454
"제주특별자치도","국비",소계,소계,31180000,24523000
"제주특별자치도","지방비",소계,소계,144927289,175060454
"제주특별자치도","지방비",광역시도,자체 예산,14488750,34677976
"제주특별자치도","지방비",지자체 시군구,시도지원예산,2945000,0
"제주특별자치도","지방비",지자체 시군구,자체예산,127493539,140382478
"제주특별자치도","치관",소계,소계,0,0
"제주특별자치도","지방채",소계,소계,0,0
"제주특별자치도","세입수수료",소계,소계,29037906,28097000
"제주특별자치도","기타",소계,소계,0,0
