"시도(1)","항목별(1)",항목별(2),2019
"경기","총계",계,9543.9
"경기","총계",매립,934.2
"경기","총계",소각,3626.6
"경기","총계",재활용,4945.8
"경기","총계",기타,37.3
"경기","지방자치단체",소계,6593.2
"경기","지방자치단체",매립,725.0
"경기","지방자치단체",소각,3348.3
"경기","지방자치단체",재활용,2504.5
"경기","지방자치단체",기타,15.4
"경기","위탁처리업체",소계,2929.1
"경기","위탁처리업체",매립,209.2
"경기","위탁처리업체",소각,277.1
"경기","위탁처리업체",재활용,2421.8
"경기","위탁처리업체",기타,21.0
"경기","자가처리업체",소계,21.6
"경기","자가처리업체",매립,0.0
"경기","자가처리업체",소각,1.2
"경기","자가처리업체",재활용,19.5
"경기","자가처리업체",기타,0.9
"강원","총계",계,1866.3
"강원","총계",매립,563.8
"강원","총계",소각,418.0
"강원","총계",재활용,876.3
"강원","총계",기타,8.2
"강원","지방자치단체",소계,1389.2
"강원","지방자치단체",매립,563.7
"강원","지방자치단체",소각,413.7
"강원","지방자치단체",재활용,405.5
"강원","지방자치단체",기타,6.3
"강원","위탁처리업체",소계,455.4
"강원","위탁처리업체",매립,0.1
"강원","위탁처리업체",소각,4.3
"강원","위탁처리업체",재활용,449.1
"강원","위탁처리업체",기타,1.9
"강원","자가처리업체",소계,21.7
"강원","자가처리업체",매립,0.0
"강원","자가처리업체",소각,0.0
"강원","자가처리업체",재활용,21.7
"강원","자가처리업체",기타,0.0
"충북","총계",계,1906.1
"충북","총계",매립,329.0
"충북","총계",소각,682.4
"충북","총계",재활용,894.6
"충북","총계",기타,0.1
"충북","지방자치단체",소계,1305.6
"충북","지방자치단체",매립,329.0
"충북","지방자치단체",소각,609.2
"충북","지방자치단체",재활용,367.4
"충북","지방자치단체",기타,0.0
"충북","위탁처리업체",소계,593.3
"충북","위탁처리업체",매립,0.0
"충북","위탁처리업체",소각,73.2
"충북","위탁처리업체",재활용,520.0
"충북","위탁처리업체",기타,0.1
"충북","자가처리업체",소계,7.2
"충북","자가처리업체",매립,0.0
"충북","자가처리업체",소각,0.0
"충북","자가처리업체",재활용,7.2
"충북","자가처리업체",기타,0.0
"충남","총계",계,2288.0
"충남","총계",매립,128.9
"충남","총계",소각,1003.4
"충남","총계",재활용,1134.3
"충남","총계",기타,21.4
"충남","지방자치단체",소계,1385.5
"충남","지방자치단체",매립,127.7
"충남","지방자치단체",소각,770.1
"충남","지방자치단체",재활용,466.3
"충남","지방자치단체",기타,21.4
"충남","위탁처리업체",소계,902.4
"충남","위탁처리업체",매립,1.2
"충남","위탁처리업체",소각,233.3
"충남","위탁처리업체",재활용,667.9
"충남","위탁처리업체",기타,0.0
"충남","자가처리업체",소계,0.1
"충남","자가처리업체",매립,0.0
"충남","자가처리업체",소각,0.0
"충남","자가처리업체",재활용,0.1
"충남","자가처리업체",기타,0.0
"전북","총계",계,1578.1
"전북","총계",매립,313.8
"전북","총계",소각,451.0
"전북","총계",재활용,774.5
"전북","총계",기타,38.8
"전북","지방자치단체",소계,1074.9
"전북","지방자치단체",매립,304.0
"전북","지방자치단체",소각,386.2
"전북","지방자치단체",재활용,384.7
"전북","지방자치단체",기타,0.0
"전북","위탁처리업체",소계,496.9
"전북","위탁처리업체",매립,7.2
"전북","위탁처리업체",소각,64.8
"전북","위탁처리업체",재활용,386.1
"전북","위탁처리업체",기타,38.8
"전북","자가처리업체",소계,6.3
"전북","자가처리업체",매립,2.6
"전북","자가처리업체",소각,0.0
"전북","자가처리업체",재활용,3.7
"전북","자가처리업체",기타,0.0
"전남","총계",계,1720.2
"전남","총계",매립,696.7
"전남","총계",소각,335.3
"전남","총계",재활용,675.6
"전남","총계",기타,12.6
"전남","지방자치단체",소계,1517.3
"전남","지방자치단체",매립,694.7
"전남","지방자치단체",소각,331.0
"전남","지방자치단체",재활용,491.6
"전남","지방자치단체",기타,0.0
"전남","위탁처리업체",소계,202.6
"전남","위탁처리업체",매립,2.0
"전남","위탁처리업체",소각,4.3
"전남","위탁처리업체",재활용,183.7
"전남","위탁처리업체",기타,12.6
"전남","자가처리업체",소계,0.3
"전남","자가처리업체",매립,0.0
"전남","자가처리업체",소각,0.0
"전남","자가처리업체",재활용,0.3
"전남","자가처리업체",기타,0.0
"경북","총계",계,2367.1
"경북","총계",매립,378.8
"경북","총계",소각,1071.7
"경북","총계",재활용,906.4
"경북","총계",기타,10.2
"경북","지방자치단체",소계,1648.2
"경북","지방자치단체",매립,378.6
"경북","지방자치단체",소각,929.8
"경북","지방자치단체",재활용,329.6
"경북","지방자치단체",기타,10.2
"경북","위탁처리업체",소계,706.6
"경북","위탁처리업체",매립,0.1
"경북","위탁처리업체",소각,141.8
"경북","위탁처리업체",재활용,564.7
"경북","위탁처리업체",기타,0.0
"경북","자가처리업체",소계,12.3
"경북","자가처리업체",매립,0.1
"경북","자가처리업체",소각,0.1
"경북","자가처리업체",재활용,12.1
"경북","자가처리업체",기타,0.0
"경남","총계",계,3552.8
