시도명,항목,월,2019,2020
대전광역시,미세먼지 PM10,03,68.0,40.0
대전광역시,미세먼지 PM2.5,03,39.0,20.0
대전광역시,아황산가스,03,0.003,0.002
대전광역시,오존,03,0.028,0.029
대전광역시,이산화질소,03,0.023,0.018
대전광역시,일산화탄소,03,0.5,0.4
부산광역시,미세먼지 PM10,03,51.0,33.0
부산광역시,미세먼지 PM2.5,03,30.0,16.0
부산광역시,아황산가스,03,0.004,0.003
부산광역시,오존,03,0.039,0.034
부산광역시,이산화질소,03,0.02,0.016
부산광역시,일산화탄소,03,0.4,0.4
서울특별시,미세먼지 PM10,03,69.0,45.0
서울특별시,미세먼지 PM2.5,03,45.0,25.0
서울특별시,아황산가스,03,0.005,0.003
서울특별시,오존,03,0.028,0.027
서울특별시,이산화질소,03,0.034,0.027
서울특별시,일산화탄소,03,0.6,0.5
세종특별자치시,미세먼지 PM10,03,71.0,47.0
세종특별자치시,미세먼지 PM2.5,03,47.0,23.0
세종특별자치시,아황산가스,03,0.003,0.003
세종특별자치시,오존,03,0.034,0.032
세종특별자치시,이산화질소,03,0.022,0.019
세종특별자치시,일산화탄소,03,0.6,0.4
울산광역시,미세먼지 PM10,03,49.0,34.0
울산광역시,미세먼지 PM2.5,03,29.0,17.0
울산광역시,아황산가스,03,0.005,0.004
울산광역시,오존,03,0.039,0.035
울산광역시,이산화질소,03,0.022,0.018
울산광역시,일산화탄소,03,0.5,0.5
인천광역시,미세먼지 PM10,03,67.0,41.0
인천광역시,미세먼지 PM2.5,03,41.0,21.0
인천광역시,아황산가스,03,0.005,0.004
인천광역시,오존,03,0.033,0.032
인천광역시,이산화질소,03,0.028,0.023
인천광역시,일산화탄소,03,0.6,0.5
전라남도,미세먼지 PM10,03,50.10526315789474,32.91304347826087
전라남도,미세먼지 PM2.5,03,30.63157894736842,15.956521739130435
전라남도,아황산가스,03,0.0035294117647058,0.0028695652173913
전라남도,오존,03,0.0406842105263157,0.0357391304347826
전라남도,이산화질소,03,0.0120526315789473,0.0091304347826086
전라남도,일산화탄소,03,0.5052631578947369,0.408695652173913
전라북도,미세먼지 PM10,03,65.93333333333334,38.69230769230769
전라북도,미세먼지 PM2.5,03,42.93333333333333,21.5
전라북도,아황산가스,03,0.0033333333333333,0.0029333333333333
전라북도,오존,03,0.0407333333333333,0.0352666666666666
전라북도,이산화질소,03,0.0129333333333333,0.0109333333333333
전라북도,일산화탄소,03,0.5133333333333333,0.3933333333333333
제주특별자치도,미세먼지 PM10,03,51.0,35.666666666666664
제주특별자치도,미세먼지 PM2.5,03,29.33333333333333,15.333333333333334
제주특별자치도,아황산가스,03,0.0023333333333333,0.001
제주특별자치도,오존,03,0.054,0.0436666666666666
제주특별자치도,이산화질소,03,0.0126666666666666,0.0086666666666666
제주특별자치도,일산화탄소,03,0.3333333333333333,0.3333333333333333
충청남도,미세먼지 PM10,03,65.625,47.13333333333333
충청남도,미세먼지 PM2.5,03,42.5625,25.53333333333333
충청남도,아황산가스,03,0.004125,0.0034
충청남도,오존,03,0.0373125,0.0341333333333333
충청남도,이산화질소,03,0.016,0.0126666666666666
충청남도,일산화탄소,03,0.6,0.4266666666666667
충청북도,미세먼지 PM10,03,66.16666666666667,42.083333333333336
충청북도,미세먼지 PM2.5,03,47.333333333333336,26.08333333333333
충청북도,아황산가스,03,0.0035833333333333,0.003090909090909
충청북도,오존,03,0.0349166666666666,0.0325833333333333
충청북도,이산화질소,03,0.0195,0.0150833333333333
충청북도,일산화탄소,03,0.5,0.4583333333333333
강원도,미세먼지 PM10,04,38.05555555555556,39.0
강원도,미세먼지 PM2.5,04,17.27777777777778,18.789473684210527
강원도,아황산가스,04,0.0022222222222222,0.0025263157894736
강원도,오존,04,0.0409444444444444,0.0436842105263157
강원도,이산화질소,04,0.0102222222222222,0.0086666666666666
강원도,일산화탄소,04,0.4111111111111111,0.3647058823529412
경기도,미세먼지 PM10,04,44.1875,46.875
경기도,미세먼지 PM2.5,04,20.4375,19.875
경기도,아황산가스,04,0.0035,0.003
경기도,오존,04,0.033125,0.039625
경기도,이산화질소,04,0.0225,0.016625
경기도,일산화탄소,04,0.434375,0.396875
경상남도,미세먼지 PM10,04,39.266666666666666,32.72222222222222
경상남도,미세먼지 PM2.5,04,16.6,15.055555555555555
경상남도,아황산가스,04,0.0034666666666666,0.0031111111111111
경상남도,오존,04,0.043,0.0478888888888888
경상남도,이산화질소,04,0.0144,0.0113333333333333
경상남도,일산화탄소,04,0.3733333333333333,0.3722222222222222
경상북도,미세먼지 PM10,04,42.25,36.25
경상북도,미세먼지 PM2.5,04,16.333333333333332,16.833333333333332
경상북도,아황산가스,04,0.0033333333333333,0.0035416666666666
경상북도,오존,04,0.0406666666666666,0.0459166666666666
경상북도,이산화질소,04,0.0134166666666666,0.0089583333333333
경상북도,일산화탄소,04,0.35,0.3708333333333333
광주광역시,미세먼지 PM10,04,43.0,38.0
광주광역시,미세먼지 PM2.5,04,20.0,17.0
광주광역시,아황산가스,04,0.002,0.003
광주광역시,오존,04,0.036,0.043
광주광역시,이산화질소,04,0.019,0.013
광주광역시,일산화탄소,04,0.4,0.4
대구광역시,미세먼지 PM10,04,40.0,39.0
대구광역시,미세먼지 PM2.5,04,19.0,18.0
대구광역시,아황산가스,04,0.003,0.002
대구광역시,오존,04,0.036,0.04
대구광역시,이산화질소,04,0.017,0.013
대구광역시,일산화탄소,04,0.4,0.4
대전광역시,미세먼지 PM10,04,40.0,41.0
대전광역시,미세먼지 PM2.5,04,16.0,17.0
대전광역시,아황산가스,04,0.002,0.002
대전광역시,오존,04,0.03,0.038
대전광역시,이산화질소,04,0.018,0.014
대전광역시,일산화탄소,04,0.3,0.3
부산광역시,미세먼지 PM10,04,40.0,36.0
부산광역시,미세먼지 PM2.5,04,20.0,17.0
부산광역시,아황산가스,04,0.005,0.003
부산광역시,오존,04,0.037,0.044
부산광역시,이산화질소,04,0.019,0.014
부산광역시,일산화탄소,04,0.4,0.4
서울특별시,미세먼지 PM10,04,41.0,44.0
서울특별시,미세먼지 PM2.5,04,21.0,21.0
서울특별시,아황산가스,04,0.004,0.003
서울특별시,오존,04,0.029,0.036
서울특별시,이산화질소,04,0.029,0.021
서울특별시,일산화탄소,04,0.5,0.4
세종특별자치시,미세먼지 PM10,04,40.0,44.0
세종특별자치시,미세먼지 PM2.5,04,19.0,18.0
세종특별자치시,아황산가스,04,0.003,0.003
세종특별자치시,오존,04,0.036,0.042
세종특별자치시,이산화질소,04,0.018,0.014
세종특별자치시,일산화탄소,04,0.4,0.4
울산광역시,미세먼지 PM10,04,40.0,36.0
울산광역시,미세먼지 PM2.5,04,19.0,17.0
울산광역시,아황산가스,04,0.006,0.004
울산광역시,오존,04,0.037,0.043
울산광역시,이산화질소,04,0.021,0.016
울산광역시,일산화탄소,04,0.5,0.4
인천광역시,미세먼지 PM10,04,43.0,39.0
인천광역시,미세먼지 PM2.5,04,20.0,16.0
인천광역시,아황산가스,04,0.005,0.004
인천광역시,오존,04,0.033,0.041
인천광역시,이산화질소,04,0.026,0.017
인천광역시,일산화탄소,04,0.5,0.5
전라남도,미세먼지 PM10,04,34.36842105263158,35.30434782608695
전라남도,미세먼지 PM2.5,04,17.36842105263158,16.130434782608695
전라남도,아황산가스,04,0.0034736842105263,0.0027391304347826
전라남도,오존,04,0.04,0.044
전라남도,이산화질소,04,0.0104210526315789,0.0079565217391304
전라남도,일산화탄소,04,0.5,0.3869565217391305
전라북도,미세먼지 PM10,04,42.53333333333333,39.4
전라북도,미세먼지 PM2.5,04,22.066666666666663,18.933333333333334
전라북도,아황산가스,04,0.0032,0.0027333333333333
전라북도,오존,04,0.0405333333333333,0.0436
전라북도,이산화질소,04,0.0118,0.0098571428571428
전라북도,일산화탄소,04,0.38,0.3399999999999999
제주특별자치도,미세먼지 PM10,04,38.66666666666666,41.66666666666666
제주특별자치도,미세먼지 PM2.5,04,19.33333333333333,18.0
제주특별자치도,아황산가스,04,0.003,0.0013333333333333
제주특별자치도,오존,04,0.052,0.0526666666666666
제주특별자치도,이산화질소,04,0.011,0.0086666666666666
제주특별자치도,일산화탄소,04,0.3,0.3333333333333333
충청남도,미세먼지 PM10,04,41.375,44.13333333333333
충청남도,미세먼지 PM2.5,04,21.4375,20.066666666666663
충청남도,아황산가스,04,0.003875,0.0032666666666666
충청남도,오존,04,0.0376875,0.0404666666666666
충청남도,이산화질소,04,0.013375,0.0098666666666666
충청남도,일산화탄소,04,0.49375,0.38
충청북도,미세먼지 PM10,04,41.833333333333336,42.63636363636363
충청북도,미세먼지 PM2.5,04,22.666666666666668,22.166666666666668
충청북도,아황산가스,04,0.0031666666666666,0.0031818181818181
충청북도,오존,04,0.0360833333333333,0.0428333333333333
충청북도,이산화질소,04,0.0155,0.0118999999999999
충청북도,일산화탄소,04,0.375,0.3916666666666666
강원도,미세먼지 PM10,05,44.94736842105263,29.22222222222222
강원도,미세먼지 PM2.5,05,22.473684210526315,14.5
강원도,아황산가스,05,0.0024210526315789,0.0023333333333333
강원도,오존,05,0.0562631578947368,0.0394444444444444
강원도,이산화질소,05,0.0096111111111111,0.007
강원도,일산화탄소,05,0.4315789473684211,0.3444444444444444
경기도,미세먼지 PM10,05,54.96875,36.8125
경기도,미세먼지 PM2.5,05,27.21875,18.40625
경기도,아황산가스,05,0.00428125,0.00284375
경기도,오존,05,0.04875,0.0388437499999999
경기도,이산화질소,05,0.02075,0.0149375
경기도,일산화탄소,05,0.471875,0.4
경상남도,미세먼지 PM10,05,45.53333333333333,31.55555555555556
경상남도,미세먼지 PM2.5,05,19.6,15.944444444444445
경상남도,아황산가스,05,0.0038,0.0030526315789473
경상남도,오존,05,0.0552,0.0464736842105263
경상남도,이산화질소,05,0.0139333333333333,0.0097894736842105
경상남도,일산화탄소,05,0.3933333333333333,0.3631578947368421
경상북도,미세먼지 PM10,05,45.53846153846154,31.541666666666668
경상북도,미세먼지 PM2.5,05,20.0,15.166666666666666
경상북도,아황산가스,05,0.0042307692307692,0.0032083333333333
경상북도,오존,05,0.0536153846153846,0.0440416666666666
경상북도,이산화질소,05,0.0126923076923076,0.0073333333333333
경상북도,일산화탄소,05,0.3384615384615385,0.3583333333333333
광주광역시,미세먼지 PM10,05,50.0,31.0
광주광역시,미세먼지 PM2.5,05,22.0,18.0
광주광역시,아황산가스,05,0.003,0.002
광주광역시,오존,05,0.048,0.041
광주광역시,이산화질소,05,0.017,0.01
광주광역시,일산화탄소,05,0.4,0.4
대구광역시,미세먼지 PM10,05,46.0,38.0
대구광역시,미세먼지 PM2.5,05,23.0,20.0
대구광역시,아황산가스,05,0.003,0.002
대구광역시,오존,05,0.048,0.04
대구광역시,이산화질소,05,0.016,0.011
대구광역시,일산화탄소,05,0.4,0.4
대전광역시,미세먼지 PM10,05,46.0,32.0
대전광역시,미세먼지 PM2.5,05,22.0,16.0
대전광역시,아황산가스,05,0.003,0.002
대전광역시,오존,05,0.045,0.037
대전광역시,이산화질소,05,0.017,0.011
대전광역시,일산화탄소,05,0.4,0.3
부산광역시,미세먼지 PM10,05,47.0,32.0
부산광역시,미세먼지 PM2.5,05,25.0,17.0
부산광역시,아황산가스,05,0.006,0.004
부산광역시,오존,05,0.048,0.041
부산광역시,이산화질소,05,0.021,0.014
부산광역시,일산화탄소,05,0.4,0.4
서울특별시,미세먼지 PM10,05,52.0,35.0
서울특별시,미세먼지 PM2.5,05,29.0,19.0
서울특별시,아황산가스,05,0.005,0.003
서울특별시,오존,05,0.043,0.034
서울특별시,이산화질소,05,0.028,0.02
서울특별시,일산화탄소,05,0.5,0.4
세종특별자치시,미세먼지 PM10,05,50.0,34.0
세종특별자치시,미세먼지 PM2.5,05,25.0,14.0
세종특별자치시,아황산가스,05,0.004,0.003
세종특별자치시,오존,05,0.051,0.044
세종특별자치시,이산화질소,05,0.018,0.012
세종특별자치시,일산화탄소,05,0.5,0.5
울산광역시,미세먼지 PM10,05,49.0,36.0
울산광역시,미세먼지 PM2.5,05,26.0,19.0
울산광역시,아황산가스,05,0.007,0.005
울산광역시,오존,05,0.047,0.041
울산광역시,이산화질소,05,0.024,0.015
울산광역시,일산화탄소,05,0.5,0.4
인천광역시,미세먼지 PM10,05,51.0,31.0
인천광역시,미세먼지 PM2.5,05,26.0,15.0
인천광역시,아황산가스,05,0.006,0.004
인천광역시,오존,05,0.046,0.039
인천광역시,이산화질소,05,0.023,0.017
인천광역시,일산화탄소,05,0.5,0.5
전라남도,미세먼지 PM10,05,42.36842105263158,29.217391304347824
전라남도,미세먼지 PM2.5,05,21.73684210526316,15.590909090909092
전라남도,아황산가스,05,0.004,0.0029565217391304
전라남도,오존,05,0.0511578947368421,0.0416086956521739
전라남도,이산화질소,05,0.0094210526315789,0.0066521739130434
전라남도,일산화탄소,05,0.4842105263157894,0.4043478260869566
전라북도,미세먼지 PM10,05,48.4,33.57142857142857
전라북도,미세먼지 PM2.5,05,24.4,19.571428571428573
전라북도,아황산가스,05,0.0032666666666666,0.0026
전라북도,오존,05,0.0545999999999999,0.0442666666666666
전라북도,이산화질소,05,0.0104666666666666,0.0082142857142857
전라북도,일산화탄소,05,0.3857142857142857,0.3399999999999999
제주특별자치도,미세먼지 PM10,05,43.333333333333336,36.333333333333336
제주특별자치도,미세먼지 PM2.5,05,19.33333333333333,19.33333333333333
제주특별자치도,아황산가스,05,0.003,0.0013333333333333
제주특별자치도,오존,05,0.0626666666666666,0.0453333333333333
제주특별자치도,이산화질소,05,0.01,0.008
제주특별자치도,일산화탄소,05,0.3,0.3333333333333333
충청남도,미세먼지 PM10,05,50.625,34.93333333333333
충청남도,미세먼지 PM2.5,05,26.8125,18.857142857142858
충청남도,아황산가스,05,0.004375,0.0031333333333333
충청남도,오존,05,0.0536875,0.0407999999999999
충청남도,이산화질소,05,0.011125,0.0084
충청남도,일산화탄소,05,0.4875,0.4
충청북도,미세먼지 PM10,05,48.833333333333336,33.0
충청북도,미세먼지 PM2.5,05,27.25,18.363636363636363
충청북도,아황산가스,05,0.0031666666666666,0.0030833333333333
충청북도,오존,05,0.0493333333333333,0.0396666666666666
충청북도,이산화질소,05,0.0143333333333333,0.009
충청북도,일산화탄소,05,0.3666666666666667,0.4083333333333334
강원도,미세먼지 PM10,06,28.473684210526315,35.333333333333336
강원도,미세먼지 PM2.5,06,16.789473684210527,18.0
강원도,아황산가스,06,0.0020526315789473,0.0023888888888888
강원도,오존,06,0.0436842105263157,0.0451666666666666
강원도,이산화질소,06,0.0077777777777777,0.0068888888888888
강원도,일산화탄소,06,0.3526315789473684,0.3666666666666667
경기도,미세먼지 PM10,06,31.096774193548388,39.96875
경기도,미세먼지 PM2.5,06,18.258064516129032,20.78125
경기도,아황산가스,06,0.0034,0.00296875
경기도,오존,06,0.0428709677419354,0.04728125
경기도,이산화질소,06,0.0158064516129032,0.0144374999999999
경기도,일산화탄소,06,0.4,0.41875
경상남도,미세먼지 PM10,06,35.86666666666667,29.27777777777778
경상남도,미세먼지 PM2.5,06,19.066666666666663,15.68421052631579
경상남도,아황산가스,06,0.0033333333333333,0.0029473684210526
경상남도,오존,06,0.0455999999999999,0.0472105263157894
경상남도,이산화질소,06,0.0118666666666666,0.0101052631578947
