"죄종별(1)","죄종별(2)",범죄발생검거기간별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"풍속범죄","성풍속범죄",1년이내,426,664,919,1044,1013,572,599,598,712,1082
"풍속범죄","성풍속범죄",1년초과,378,581,883,769,1002,547,593,931,788,792
"풍속범죄","도박범죄",계,15000,9676,7868,8098,8211,13184,8536,5885,7827,7889
"풍속범죄","도박범죄",1일이내,6870,5078,4145,3570,3623,3080,2282,2100,2076,2146
"풍속범죄","도박범죄",2일이내,176,116,85,77,74,84,68,56,77,54
"풍속범죄","도박범죄",3일이내,175,119,84,101,96,96,84,78,91,91
"풍속범죄","도박범죄",10일이내,932,673,538,486,512,607,396,468,526,494
"풍속범죄","도박범죄",1개월이내,1311,854,614,670,615,867,526,509,768,608
"풍속범죄","도박범죄",3개월이내,1932,844,558,673,597,1575,661,494,902,855
"풍속범죄","도박범죄",6개월이내,1332,556,290,593,620,1933,830,425,1132,840
"풍속범죄","도박범죄",1년이내,1072,655,318,973,995,2848,1661,610,1101,1487
"풍속범죄","도박범죄",1년초과,1200,781,1236,955,1079,2094,2028,1145,1154,1314
"특별경제범죄","소계",계,53393,59192,52689,52658,57736,50608,43791,46222,44878,41802
"특별경제범죄","소계",1일이내,10553,12688,12948,13887,15419,15681,14518,14020,13273,11024
"특별경제범죄","소계",2일이내,268,276,207,203,253,256,258,220,280,241
"특별경제범죄","소계",3일이내,270,253,237,272,246,310,304,333,346,337
"특별경제범죄","소계",10일이내,2181,2103,1703,1950,2115,2102,1902,2107,2516,2635
"특별경제범죄","소계",1개월이내,6308,6165,4967,5472,5849,5108,4833,5980,6948,6530
"특별경제범죄","소계",3개월이내,12719,13658,11783,12311,13146,9910,8298,9048,9351,9390
"특별경제범죄","소계",6개월이내,8553,8861,7975,6840,8084,6270,4702,4582,4475,4263
"특별경제범죄","소계",1년이내,5616,5344,5059,4459,5110,4290,3303,3889,2858,2826
"특별경제범죄","소계",1년초과,6920,9842,7810,7260,7514,6681,5673,6043,4831,4556
"특별경제범죄","소계",미상,5,2,-,4,-,-,-,-,-,-
"마약범죄","소계",계,3901,4048,4429,4567,6103,7096,7211,6168,7588,8707
"마약범죄","소계",1일이내,678,624,714,726,985,1461,1485,1238,1561,1776
"마약범죄","소계",2일이내,120,110,102,117,157,141,156,105,120,135
"마약범죄","소계",3일이내,106,117,82,75,117,136,98,94,88,108
"마약범죄","소계",10일이내,274,258,261,280,437,449,407,368,424,483
"마약범죄","소계",1개월이내,497,478,510,546,813,848,829,728,949,1133
"마약범죄","소계",3개월이내,815,860,999,1039,1315,1409,1550,1426,1680,1841
"마약범죄","소계",6개월이내,578,628,725,699,910,1054,1049,914,1134,1269
"마약범죄","소계",1년이내,464,524,542,585,758,898,910,677,972,1085
"마약범죄","소계",1년초과,369,448,494,500,611,700,727,618,660,877
"마약범죄","소계",미상,-,1,-,-,-,-,-,-,-,-
"보건범죄","소계",계,13879,16529,20100,14437,14304,14447,12286,10724,12289,14121
"보건범죄","소계",1일이내,3127,1981,2505,1813,1582,1392,1070,836,1068,946
"보건범죄","소계",2일이내,190,143,509,197,151,156,154,134,168,218
"보건범죄","소계",3일이내,195,146,490,203,187,179,186,144,206,248
"보건범죄","소계",10일이내,1304,1440,1930,1572,1510,1628,1527,1469,1828,2381
"보건범죄","소계",1개월이내,2997,3616,5314,3441,3300,3488,3130,2939,3467,4318
"보건범죄","소계",3개월이내,2859,4439,3707,3658,3289,3545,2824,2571,2903,3347
"보건범죄","소계",6개월이내,904,1348,2160,1392,1459,1570,1249,1016,1136,1138
"보건범죄","소계",1년이내,767,1155,1306,825,972,1068,957,574,615,849
"보건범죄","소계",1년초과,1536,2260,2179,1336,1854,1421,1189,1041,898,676
"보건범죄","소계",미상,-,1,-,-,-,-,-,-,-,-
"환경범죄","소계",계,2599,3050,4052,2462,2864,4252,4763,4662,3716,3350
"환경범죄","소계",1일이내,503,351,369,190,200,131,136,153,165,118
"환경범죄","소계",2일이내,46,32,32,18,23,18,21,32,41,34
"환경범죄","소계",3일이내,24,26,26,20,10,22,20,41,49,47
"환경범죄","소계",10일이내,248,251,269,194,220,288,331,336,451,395
"환경범죄","소계",1개월이내,685,749,816,749,789,1001,1181,1081,1139,1012
"환경범죄","소계",3개월이내,623,780,1527,722,786,1246,1079,1069,1108,985
"환경범죄","소계",6개월이내,186,238,392,211,227,766,419,566,329,397
"환경범죄","소계",1년이내,83,154,422,125,94,595,511,460,197,175
"환경범죄","소계",1년초과,201,469,199,233,515,185,1065,924,237,187
"교통범죄","소계",계,508485,498253,522952,518897,535417,539637,469162,397277,367602,339921
"교통범죄","소계",1일이내,394109,369534,374092,356229,352863,348991,296634,243517,212575,185328
"교통범죄","소계",2일이내,15017,16606,17095,17676,18864,18611,16383,12616,11124,10051
"교통범죄","소계",3일이내,14173,15990,17409,18349,20004,20198,18220,14479,13470,12468
"교통범죄","소계",10일이내,42240,48266,54978,60604,70688,75437,67771,57710,58549,56733
"교통범죄","소계",1개월이내,27691,31746,35983,41592,48409,52090,48229,45890,49544,51175
"교통범죄","소계",3개월이내,10755,11990,13193,15180,18140,17973,16767,16997,17682,19430
"교통범죄","소계",6개월이내,2058,2034,2201,2532,2822,3030,2676,2877,2427,2695
"교통범죄","소계",1년이내,1344,1078,1253,1378,1482,1541,1384,1420,1102,1035
"교통범죄","소계",1년초과,1086,992,6748,5348,2145,1766,1098,1771,1129,1006
"교통범죄","소계",미상,12,17,-,9,-,-,-,-,-,-
"노동범죄","소계",계,1520,1284,1686,1283,1118,2433,2819,1851,932,319
"노동범죄","소계",1일이내,332,228,240,168,115,77,67,57,36,21
"노동범죄","소계",2일이내,18,11,15,10,3,10,1,4,3,2
"노동범죄","소계",3일이내,17,9,8,3,3,9,12,5,5,3
"노동범죄","소계",10일이내,69,46,65,129,42,59,73,57,40,26
"노동범죄","소계",1개월이내,190,117,123,100,130,153,149,102,94,49
"노동범죄","소계",3개월이내,202,176,219,140,163,276,312,180,153,66
"노동범죄","소계",6개월이내,168,124,231,417,131,353,273,163,103,36
"노동범죄","소계",1년이내,190,116,237,117,172,450,462,338,140,40
"노동범죄","소계",1년초과,334,457,548,199,359,1046,1470,945,358,76
"안보범죄","소계",계,118,107,117,76,103,69,80,50,156,166
"안보범죄","소계",1일이내,17,9,7,6,10,9,7,7,15,5
"안보범죄","소계",2일이내,1,1,1,-,-,-,1,-,1,-
"안보범죄","소계",3일이내,-,-,-,-,-,1,-,-,-,-
"안보범죄","소계",10일이내,2,1,1,2,6,7,2,2,2,2
"안보범죄","소계",1개월이내,8,4,5,3,3,8,6,3,7,13
"안보범죄","소계",3개월이내,6,9,12,8,13,8,13,6,8,7
"안보범죄","소계",6개월이내,9,8,10,9,9,4,4,6,19,24
"안보범죄","소계",1년이내,22,11,12,5,6,7,8,5,25,41
"안보범죄","소계",1년초과,53,64,69,43,56,25,39,21,79,74
"선거범죄","소계",계,193,1140,250,1724,737,895,590,1746,587,731
"선거범죄","소계",1일이내,16,129,18,117,19,63,135,93,10,81
"선거범죄","소계",2일이내,3,14,3,19,3,17,19,12,-,8
"선거범죄","소계",3일이내,1,13,1,16,4,3,23,12,3,10
"선거범죄","소계",10일이내,12,99,12,101,39,44,90,52,13,42
"선거범죄","소계",1개월이내,43,242,59,434,139,193,148,353,68,127
"선거범죄","소계",3개월이내,64,424,98,657,277,365,103,696,223,254
"선거범죄","소계",6개월이내,30,162,37,263,152,147,46,341,150,138
"선거범죄","소계",1년이내,10,36,12,72,79,36,14,122,66,43
"선거범죄","소계",1년초과,14,21,10,45,25,27,12,65,54,28
"병역범죄","소계",계,15763,18290,22513,18712,18374,15698,14444,13137,11742,3032
"병역범죄","소계",1일이내,44,56,50,26,44,45,46,119,148,22
"병역범죄","소계",2일이내,49,52,56,27,22,34,34,77,116,16
"병역범죄","소계",3일이내,34,52,49,36,33,30,52,88,121,16
"병역범죄","소계",10일이내,342,423,505,306,264,358,412,735,989,159
"병역범죄","소계",1개월이내,3181,3073,3688,2978,2787,2838,2915,2876,2795,509
"병역범죄","소계",3개월이내,7109,8111,9619,7501,6507,6316,6678,5602,4552,944
"병역범죄","소계",6개월이내,1824,2205,2601,2689,2831,2516,1908,1717,1365,516
"병역범죄","소계",1년이내,1699,1850,2408,2120,2168,1499,1140,876,770,369
"병역범죄","소계",1년초과,1481,2467,3537,3029,3718,2062,1259,1047,886,481
"병역범죄","소계",미상,-,1,-,-,-,-,-,-,-,-
"기타범죄","소계",계,163970,160783,173600,163894,190104,237952,214309,198903,214965,211841
"기타범죄","소계",1일이내,46306,43735,43082,45473,46103,62431,47570,37044,36444,32029
"기타범죄","소계",2일이내,2072,1608,1607,1362,1568,2514,2290,1788,2066,1826
"기타범죄","소계",3일이내,1727,1600,1860,1603,1786,2990,2820,2215,2380,2624
"기타범죄","소계",10일이내,10858,10778,11207,11391,13075,20269,20425,17184,19469,19218
"기타범죄","소계",1개월이내,21427,22984,22520,23601,27121,35698,34349,31874,35615,36241
"기타범죄","소계",3개월이내,29279,30943,31386,31060,36226,45047,39347,37918,44738,44181
"기타범죄","소계",6개월이내,17299,15565,17311,15796,20405,25207,23455,21090,24631,23193
"기타범죄","소계",1년이내,14037,14009,15353,12775,17931,18922,18268,18040,20338,20119
"기타범죄","소계",1년초과,20960,19556,29274,20830,25889,24874,25785,31750,29284,32410
"기타범죄","소계",미상,5,5,-,3,-,-,-,-,-,-
