"죄종별(1)","죄종별(2)",범죄발생검거기간별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"강력범죄","유사강간",1년이내,-,-,6,19,30,24,26,57,40,39
"강력범죄","유사강간",1년초과,-,-,9,13,35,28,43,74,60,74
"강력범죄","강제추행",계,-,-,12525,13584,14355,15384,17219,16324,16395,14864
"강력범죄","강제추행",1일이내,-,-,6052,6197,6450,6907,7769,5776,5109,3422
"강력범죄","강제추행",2일이내,-,-,243,261,238,198,254,147,137,134
"강력범죄","강제추행",3일이내,-,-,274,249,256,237,255,223,225,155
"강력범죄","강제추행",10일이내,-,-,1324,1364,1460,1436,1550,1515,1474,1278
"강력범죄","강제추행",1개월이내,-,-,1804,2101,2400,2771,3283,3554,3965,3888
"강력범죄","강제추행",3개월이내,-,-,1478,1824,1897,2191,2445,2901,3397,3727
"강력범죄","강제추행",6개월이내,-,-,609,666,694,663,667,766,823,920
"강력범죄","강제추행",1년이내,-,-,363,480,473,424,412,573,516,511
"강력범죄","강제추행",1년초과,-,-,378,442,487,557,584,869,749,829
"강력범죄","기타 강간·강제추행등",계,-,-,1646,1037,555,408,305,356,326,235
"강력범죄","기타 강간·강제추행등",1일이내,-,-,369,286,148,109,89,87,91,43
"강력범죄","기타 강간·강제추행등",2일이내,-,-,39,25,11,13,8,9,8,7
"강력범죄","기타 강간·강제추행등",3일이내,-,-,39,26,11,5,9,7,7,5
"강력범죄","기타 강간·강제추행등",10일이내,-,-,190,98,56,49,26,37,25,18
"강력범죄","기타 강간·강제추행등",1개월이내,-,-,268,159,90,76,49,51,57,35
"강력범죄","기타 강간·강제추행등",3개월이내,-,-,242,146,72,63,46,48,47,42
"강력범죄","기타 강간·강제추행등",6개월이내,-,-,139,71,39,18,12,17,21,23
"강력범죄","기타 강간·강제추행등",1년이내,-,-,103,48,37,14,17,11,7,13
"강력범죄","기타 강간·강제추행등",1년초과,-,-,257,178,91,61,49,89,63,49
"강력범죄","방화",계,1483,1346,1393,1419,1482,1363,1242,1564,1240,1115
"강력범죄","방화",1일이내,887,819,834,880,953,844,764,844,773,639
"강력범죄","방화",2일이내,37,38,54,37,44,43,31,33,23,24
"강력범죄","방화",3일이내,28,29,24,26,28,29,10,27,22,28
"강력범죄","방화",10일이내,129,104,115,117,126,109,108,99,94,112
"강력범죄","방화",1개월이내,145,125,116,144,120,158,125,148,142,146
"강력범죄","방화",3개월이내,129,125,119,136,127,100,140,160,115,115
"강력범죄","방화",6개월이내,53,53,63,53,48,34,42,69,43,37
"강력범죄","방화",1년이내,34,21,31,11,24,21,13,34,14,7
"강력범죄","방화",1년초과,41,32,37,15,12,25,9,150,14,7
"절도범죄","소계",계,112849,106360,118578,119467,127368,118597,113771,106669,113673,111246
"절도범죄","소계",1일이내,29610,25871,24272,22675,23333,23688,24790,19325,18371,15691
"절도범죄","소계",2일이내,4017,3477,3336,3369,3568,4016,3775,3068,2896,2589
"절도범죄","소계",3일이내,3295,3010,2987,2752,3221,3610,3511,2985,3028,2873
"절도범죄","소계",10일이내,15524,14494,15685,16664,18484,19604,19886,18922,20441,20244
"절도범죄","소계",1개월이내,20611,21929,24777,25715,29122,29639,29600,30312,33217,33052
"절도범죄","소계",3개월이내,19548,20734,24356,24237,25969,21061,19071,20579,23762,24691
"절도범죄","소계",6개월이내,9232,8278,10347,10460,10400,7330,5740,5823,6341,7048
"절도범죄","소계",1년이내,5615,4621,6547,6852,6451,4375,3254,2624,3064,2825
"절도범죄","소계",1년초과,5395,3945,6271,6742,6820,5274,4144,3031,2553,2233
"절도범죄","소계",미상,2,1,-,1,-,-,-,-,-,-
"폭력범죄","소계",계,249836,257199,243438,242798,262401,271048,257623,251586,252877,230773
"폭력범죄","소계",1일이내,157121,149901,139631,131350,137238,136017,118864,100210,87668,64628
"폭력범죄","소계",2일이내,4276,4797,4646,4385,4939,5467,5469,4817,4829,4172
"폭력범죄","소계",3일이내,5155,6014,6189,6369,6920,7627,8326,8227,8429,7478
"폭력범죄","소계",10일이내,23239,27068,27184,29175,33673,38769,40974,42695,46225,44442
"폭력범죄","소계",1개월이내,27580,32093,31163,34232,39637,43747,46163,52367,58759,60022
"폭력범죄","소계",3개월이내,19653,22508,20886,22875,25101,25710,25540,30229,33442,36004
"폭력범죄","소계",6개월이내,5806,6798,5917,6466,6590,6200,5812,6717,7082,7702
"폭력범죄","소계",1년이내,3312,3877,3425,3640,3707,3384,3044,3100,3193,3137
"폭력범죄","소계",1년초과,3692,4140,4397,4306,4596,4127,3431,3224,3250,3188
"폭력범죄","소계",미상,2,3,-,-,-,-,-,-,-,-
"폭력범죄","상해",계,61952,58914,52908,48177,46319,48740,43477,38737,35995,32042
"폭력범죄","상해",1일이내,30740,26849,22799,19286,17693,18988,15549,12134,10414,7833
"폭력범죄","상해",2일이내,1416,1367,1191,1020,1028,1033,1014,708,659,539
"폭력범죄","상해",3일이내,1647,1588,1612,1327,1384,1419,1418,1150,1128,896
"폭력범죄","상해",10일이내,8005,8204,7952,7538,7522,8053,7895,7098,6702,6082
"폭력범죄","상해",1개월이내,10063,10649,9872,9727,9634,10225,9667,9626,9507,9006
"폭력범죄","상해",3개월이내,6556,6793,6129,6001,5943,5858,5384,5479,5286,5461
"폭력범죄","상해",6개월이내,1655,1665,1460,1485,1410,1435,1138,1191,1107,1139
"폭력범죄","상해",1년이내,908,841,823,787,763,727,619,619,515,485
"폭력범죄","상해",1년초과,962,956,1070,1006,942,1002,793,732,677,601
"폭력범죄","상해",미상,-,2,-,-,-,-,-,-,-,-
"폭력범죄","폭행",계,114514,119817,118284,123092,140524,157675,152066,151384,149461,132352
"폭력범죄","폭행",1일이내,86171,84079,80778,78872,85659,90829,80406,67956,57418,40619
"폭력범죄","폭행",2일이내,1605,2044,2226,2314,2718,3320,3373,3218,3154,2731
"폭력범죄","폭행",3일이내,2187,2852,3113,3574,4081,4823,5469,5634,5712,5159
"폭력범죄","폭행",10일이내,8541,11089,11825,13974,17626,22440,24414,26804,29469,28119
"폭력범죄","폭행",1개월이내,8453,10653,11154,13587,17665,21780,23930,29042,33176,34047
"폭력범죄","폭행",3개월이내,5165,6202,6263,7543,9201,10628,10917,14289,15978,16941
"폭력범죄","폭행",6개월이내,1290,1535,1403,1645,1822,1914,1900,2596,2554,2867
"폭력범죄","폭행",1년이내,627,679,717,789,853,960,838,994,1063,991
"폭력범죄","폭행",1년초과,474,684,805,794,899,981,819,851,937,878
"폭력범죄","폭행",미상,1,-,-,-,-,-,-,-,-,-
"폭력범죄","체포·감금",계,720,777,834,864,959,1247,1389,1139,1192,1139
"폭력범죄","체포·감금",1일이내,277,297,342,333,396,596,715,478,436,349
"폭력범죄","체포·감금",2일이내,17,19,13,19,25,32,34,19,33,15
"폭력범죄","체포·감금",3일이내,10,9,17,18,22,26,30,22,25,21
"폭력범죄","체포·감금",10일이내,53,69,68,63,104,122,141,130,147,160
"폭력범죄","체포·감금",1개월이내,111,98,103,115,111,167,167,177,220,224
"폭력범죄","체포·감금",3개월이내,113,125,136,143,139,157,161,162,180,206
"폭력범죄","체포·감금",6개월이내,47,55,55,60,66,59,53,63,49,75
"폭력범죄","체포·감금",1년이내,26,43,38,53,39,33,35,35,44,35
"폭력범죄","체포·감금",1년초과,66,62,62,60,57,55,53,53,58,54
"폭력범죄","협박",계,3143,3948,4013,4576,8304,15043,14699,16155,19807,19876
"폭력범죄","협박",1일이내,752,1059,1056,1241,2869,6348,5602,5761,6750,5689
"폭력범죄","협박",2일이내,33,42,40,51,119,297,270,269,285,292
"폭력범죄","협박",3일이내,50,68,63,64,159,335,318,392,523,429
"폭력범죄","협박",10일이내,307,352,399,443,906,1897,2104,2167,2866,2918
