연도,범죄명,자백발생횟수,재범발생횟수,공범자수,마약소지
2015,기타범죄,241747,122654,43291,47
2015,노동범죄,2395,1295,838,0
2015,도박범죄,29166,21225,20970,3
2015,마약범죄,6913,4458,2031,785
2015,문서·인장,19022,6293,3188,0
2015,방화,1517,1075,127,2
2015,배임,8233,1966,1441,0
2015,병역범죄,18241,11454,125,1
2015,보건범죄,20721,11009,5509,0
2015,사기,228205,90102,30485,20
2015,살인기수,389,209,36,0
2015,살인미수등,586,400,32,0
2015,상해,62059,41842,2256,14
2015,선거범죄,1121,612,336,0
2015,성풍속범죄,11917,5147,575,6
2015,손괴,31749,20169,1141,10
2015,안보범죄,174,95,94,0
2015,약취·유인,252,112,69,0
2015,유가증권인지,399,146,79,0
2015,유사강간,535,254,21,1
2015,절도범죄,103166,57047,28201,18
2015,증수뢰,842,330,307,0
2015,직권남용,587,31,40,0
2015,직무유기,860,51,66,0
2015,체포·감금,1226,539,164,0
2015,통화,286,79,54,0
2015,특별경제범죄,90356,41454,13521,12
2015,폭력행위등,73002,41346,39684,14
2015,폭행,192308,72047,4247,11
2015,협박,9197,4553,291,0
2015,환경범죄,3176,2132,573,0
2015,횡령,35945,13412,3493,2
2016,강간,5829,2676,540,6
2016,강도,1716,1250,830,2
2016,강제추행,16016,8268,344,1
2016,공갈,3638,2000,739,2
2016,교통범죄,555352,260344,3671,33
2016,기타 강간·강제추행등,521,315,80,3
2016,기타범죄,310870,158595,53122,27
2016,노동범죄,5860,2451,2570,1
2016,도박범죄,33942,23093,18129,1
2016,마약범죄,8443,5305,2313,683
2016,문서·인장,18024,5915,2834,2
2016,방화,1396,935,141,2
2016,배임,7608,1897,1334,0
2016,병역범죄,15659,9440,69,0
2016,보건범죄,21649,11204,6568,0
2016,사기,223210,87713,30157,25
2016,살인기수,379,198,53,1
2016,살인미수등,616,398,40,0
2016,상해,65695,44716,3882,11
2016,선거범죄,1525,662,504,0
2016,성풍속범죄,11207,4793,420,5
2016,손괴,34995,22102,1341,12
2016,안보범죄,151,49,38,0
2016,약취·유인,305,135,105,0
2016,유가증권인지,373,125,70,0
2016,유사강간,598,296,23,0
2016,절도범죄,106415,59090,25559,11
2016,증수뢰,788,378,348,0
2016,직권남용,577,29,46,0
2016,직무유기,642,40,62,0
2016,체포·감금,1687,844,313,2
2016,통화,220,65,61,0
2016,특별경제범죄,77669,38389,13483,8
2016,폭력행위등,40963,20737,29867,3
2016,폭행,216857,82208,6052,18
2016,협박,16825,9494,492,3
2016,환경범죄,3802,2538,594,0
2016,횡령,35583,13254,3265,1
2017,강간,5943,2595,539,8
2017,강도,1456,1028,684,2
2017,강제추행,18272,9168,353,2
2017,공갈,3573,1872,775,0
2017,교통범죄,484552,224720,3046,38
2017,기타 강간·강제추행등,371,199,56,1
2017,기타범죄,272830,136641,43779,30
2017,노동범죄,4964,2019,1787,0
2017,도박범죄,23735,17029,14785,1
2017,마약범죄,8512,5487,2484,719
2017,문서·인장,15918,4964,2438,1
2017,방화,1286,858,113,3
2017,배임,7806,1992,1629,0
2017,병역범죄,14574,8173,66,3
2017,보건범죄,19130,9377,5294,1
2017,사기,208482,82948,30318,12
2017,살인기수,344,168,46,0
2017,살인미수등,561,349,44,1
2017,상해,58851,39709,4481,6
2017,선거범죄,787,380,122,0
2017,성풍속범죄,12046,5126,427,2
2017,손괴,34900,21845,1482,11
2017,안보범죄,251,165,163,1
2017,약취·유인,285,126,89,0
2017,유가증권인지,330,126,72,0
2017,유사강간,694,329,24,0
2017,절도범죄,105695,59461,23510,17
2017,증수뢰,1128,552,496,0
2017,직권남용,679,54,87,0
2017,직무유기,663,31,35,0
2017,체포·감금,1911,894,350,0
2017,통화,531,118,50,0
2017,특별경제범죄,72452,36691,14251,5
2017,폭력행위등,36647,18276,27357,7
2017,폭행,210745,78850,7287,10
2017,협박,16599,9076,536,1
2017,환경범죄,4378,2918,735,0
2017,횡령,33580,12568,3254,1
2018,강간,5947,2451,505,22
2018,강도,1165,829,510,7
2018,강제추행,17631,8501,542,7
2018,공갈,3521,1682,785,7
2018,교통범죄,413147,179640,5707,56
2018,기타 강간·강제추행등,458,255,39,1
2018,기타범죄,247023,115109,41216,100
2018,노동범죄,2073,998,817,0
2018,도박범죄,19470,13953,13686,8
2018,마약범죄,7677,4638,2703,3837
2018,문서·인장,15576,4506,2440,3
2018,방화,1387,910,117,2
2018,배임,8209,1724,1301,0
2018,병역범죄,13254,7272,538,3
2018,보건범죄,16965,7599,4504,3
2018,사기,229854,88559,36527,70
2018,살인기수,350,169,52,1
2018,살인미수등,516,306,48,2
2018,상해,52867,34854,4015,15
2018,선거범죄,3280,1294,988,0
2018,성풍속범죄,12713,5265,771,5
2018,손괴,35690,21633,1731,14
2018,안보범죄,187,94,100,0
2018,약취·유인,260,104,73,0
2018,유가증권인지,295,81,49,2
2018,유사강간,848,378,49,1
2018,절도범죄,97334,55663,20956,42
2018,증수뢰,1131,418,490,0
2018,직권남용,811,56,117,0
2018,직무유기,713,20,30,0
2018,체포·감금,1608,687,276,0
2018,통화,255,60,21,1
2018,특별경제범죄,75348,36396,15563,19
2018,폭력행위등,31885,15524,24397,9
2018,폭행,204801,76592,8328,25
2018,협박,18337,9510,767,10
2018,환경범죄,4066,2652,773,0
2018,횡령,35270,12429,3495,10
2019,강간,6138,2392,471,18
2019,강도,1336,923,748,7
2019,강제추행,17892,8557,461,5
2019,공갈,3552,1619,828,2
2019,교통범죄,383717,152778,3971,48
2019,기타 강간·강제추행등,495,259,59,3
2019,기타범죄,256000,116561,40323,96
2019,노동범죄,865,524,226,1
2019,도박범죄,21306,14812,13115,4
