"죄종별(1)","죄종별(2)",전과별(1),전과별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"강력범죄","강간·강제추행",전과있음,7범,335,407,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행",전과있음,8범,301,345,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행",전과있음,9범이상,1675,1776,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행",미상,소계,-,3858,-,-,-,-,-,-,-,-
"강력범죄","강간",계,소계,-,-,5856,5517,5621,5829,5943,5947,6138,6113
"강력범죄","강간",없음,소계,-,-,1621,1612,1585,1633,1674,1495,1642,1573
"강력범죄","강간",전과있음,소계,-,-,2975,2701,2627,2617,2555,2403,2357,2361
"강력범죄","강간",전과있음,1범,-,-,702,652,610,622,616,588,557,599
"강력범죄","강간",전과있음,2범,-,-,493,433,416,408,393,384,395,374
"강력범죄","강간",전과있음,3범,-,-,339,282,275,319,252,260,246,244
"강력범죄","강간",전과있음,4범,-,-,260,239,197,211,216,189,197,189
"강력범죄","강간",전과있음,5범,-,-,193,191,184,169,195,177,164,149
"강력범죄","강간",전과있음,6범,-,-,143,139,145,137,136,126,144,111
"강력범죄","강간",전과있음,7범,-,-,130,101,131,114,83,93,90,101
"강력범죄","강간",전과있음,8범,-,-,91,96,92,104,88,71,77,64
"강력범죄","강간",전과있음,9범이상,-,-,624,568,577,533,576,515,487,530
"강력범죄","강간",미상,소계,-,-,1260,1204,1409,1579,1714,2049,2139,2179
"강력범죄","유사강간",계,소계,-,-,136,389,535,598,694,848,895,934
"강력범죄","유사강간",없음,소계,-,-,50,152,187,209,256,324,319,331
"강력범죄","유사강간",전과있음,소계,-,-,75,189,248,289,320,356,373,379
"강력범죄","유사강간",전과있음,1범,-,-,24,52,71,77,87,97,103,101
"강력범죄","유사강간",전과있음,2범,-,-,12,29,39,39,48,45,80,59
"강력범죄","유사강간",전과있음,3범,-,-,9,23,19,36,38,43,46,42
"강력범죄","유사강간",전과있음,4범,-,-,5,13,30,24,28,32,32,34
"강력범죄","유사강간",전과있음,5범,-,-,3,9,11,22,32,21,20,25
"강력범죄","유사강간",전과있음,6범,-,-,6,13,13,14,9,16,15,17
"강력범죄","유사강간",전과있음,7범,-,-,4,4,8,12,8,13,11,17
"강력범죄","유사강간",전과있음,8범,-,-,2,6,9,10,8,19,11,6
"강력범죄","유사강간",전과있음,9범이상,-,-,10,40,48,55,62,70,55,78
"강력범죄","유사강간",미상,소계,-,-,11,48,100,100,118,168,203,224
"강력범죄","강제추행",계,소계,-,-,12496,13400,14488,16016,18272,17631,17892,16382
"강력범죄","강제추행",없음,소계,-,-,4023,4650,5150,5613,6330,5858,5883,5043
"강력범죄","강제추행",전과있음,소계,-,-,6677,7170,7540,8197,9048,8490,8500,7906
"강력범죄","강제추행",전과있음,1범,-,-,1744,1841,2002,2190,2364,2183,2161,1928
"강력범죄","강제추행",전과있음,2범,-,-,1150,1279,1259,1335,1533,1359,1380,1280
"강력범죄","강제추행",전과있음,3범,-,-,750,841,923,974,991,1003,987,864
