"죄종별(1)","죄종별(2)","재범종류별(1)",재범기간별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"강력범죄","살인미수등","이종",2년이내,50,38,59,46,39,39,45,24,24,22
"강력범죄","살인미수등","이종",3년이내,61,45,51,40,33,33,32,32,27,13
"강력범죄","살인미수등","이종",3년초과,221,190,178,150,186,192,139,145,142,119
"강력범죄","강도","계",계,3230,2391,1887,1514,1425,1250,1028,829,923,773
"강력범죄","강도","동종",계,913,740,570,434,397,362,259,245,300,267
"강력범죄","강도","동종",1개월이내,104,133,72,52,44,34,24,34,36,43
"강력범죄","강도","동종",3개월이내,100,80,70,44,39,46,37,30,42,35
"강력범죄","강도","동종",6개월이내,58,67,60,44,39,39,24,19,43,32
"강력범죄","강도","동종",1년이내,221,162,130,92,108,87,66,58,75,52
"강력범죄","강도","동종",2년이내,109,84,61,53,39,46,28,23,34,34
"강력범죄","강도","동종",3년이내,121,82,73,48,48,41,26,34,24,26
"강력범죄","강도","동종",3년초과,200,132,104,101,80,69,54,47,46,45
"강력범죄","강도","이종",계,2317,1651,1317,1080,1028,888,769,584,623,506
"강력범죄","강도","이종",1개월이내,129,132,77,53,55,49,32,24,27,29
"강력범죄","강도","이종",3개월이내,154,153,93,70,81,74,51,30,63,39
"강력범죄","강도","이종",6개월이내,157,136,87,104,80,56,86,46,55,52
"강력범죄","강도","이종",1년이내,583,392,336,241,262,206,167,165,164,124
"강력범죄","강도","이종",2년이내,333,206,174,120,120,104,112,83,83,68
"강력범죄","강도","이종",3년이내,312,214,162,140,117,114,99,70,71,66
"강력범죄","강도","이종",3년초과,649,418,388,352,313,285,222,166,160,128
"강력범죄","강간·강제추행","계",계,8324,9209,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행","동종",계,1476,1515,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행","동종",1개월이내,91,84,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행","동종",3개월이내,94,114,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행","동종",6개월이내,87,90,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행","동종",1년이내,348,365,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행","동종",2년이내,176,200,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행","동종",3년이내,220,224,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행","동종",3년초과,460,438,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행","이종",계,6848,7694,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행","이종",1개월이내,242,277,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행","이종",3개월이내,338,372,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행","이종",6개월이내,347,390,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행","이종",1년이내,1140,1219,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행","이종",2년이내,847,925,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행","이종",3년이내,844,985,-,-,-,-,-,-,-,-
"강력범죄","강간·강제추행","이종",3년초과,3090,3526,-,-,-,-,-,-,-,-
"강력범죄","강간","계",계,-,-,3023,2716,2666,2676,2595,2451,2392,2400
"강력범죄","강간","동종",계,-,-,306,221,192,161,232,351,310,336
"강력범죄","강간","동종",1개월이내,-,-,14,4,7,6,12,27,24,17
"강력범죄","강간","동종",3개월이내,-,-,23,10,5,12,15,33,19,30
"강력범죄","강간","동종",6개월이내,-,-,28,16,11,13,21,32,22,27
"강력범죄","강간","동종",1년이내,-,-,66,51,40,42,60,68,94,92
"강력범죄","강간","동종",2년이내,-,-,46,27,29,19,33,52,30,42
"강력범죄","강간","동종",3년이내,-,-,27,18,21,22,23,44,42,41
"강력범죄","강간","동종",3년초과,-,-,102,95,79,47,68,95,79,87
"강력범죄","강간","이종",계,-,-,2717,2495,2474,2515,2363,2100,2082,2064
"강력범죄","강간","이종",1개월이내,-,-,96,74,81,88,70,57,49,41
"강력범죄","강간","이종",3개월이내,-,-,144,117,119,116,105,84,68,93
"강력범죄","강간","이종",6개월이내,-,-,163,159,146,140,139,97,95,90
"강력범죄","강간","이종",1년이내,-,-,533,533,449,499,470,382,391,379
"강력범죄","강간","이종",2년이내,-,-,309,291,318,277,264,279,263,235
"강력범죄","강간","이종",3년이내,-,-,363,268,276,301,310,273,305,256
"강력범죄","강간","이종",3년초과,-,-,1109,1053,1085,1094,1005,928,911,970
"강력범죄","유사강간","계",계,-,-,77,194,254,296,329,378,385,387
"강력범죄","유사강간","동종",계,-,-,7,15,20,28,30,58,64,54
"강력범죄","유사강간","동종",1개월이내,-,-,-,1,1,-,-,2,4,-
"강력범죄","유사강간","동종",3개월이내,-,-,1,1,1,1,-,4,4,2
"강력범죄","유사강간","동종",6개월이내,-,-,1,-,2,1,7,4,5,1
"강력범죄","유사강간","동종",1년이내,-,-,1,4,4,4,6,13,15,16
"강력범죄","유사강간","동종",2년이내,-,-,1,2,4,6,2,8,11,10
"강력범죄","유사강간","동종",3년이내,-,-,-,1,-,4,7,11,7,7
"강력범죄","유사강간","동종",3년초과,-,-,3,6,8,12,8,16,18,18
"강력범죄","유사강간","이종",계,-,-,70,179,234,268,299,320,321,333
"강력범죄","유사강간","이종",1개월이내,-,-,3,5,8,6,2,4,7,10
"강력범죄","유사강간","이종",3개월이내,-,-,1,6,11,15,14,14,7,8
"강력범죄","유사강간","이종",6개월이내,-,-,2,11,10,10,14,6,13,6
"강력범죄","유사강간","이종",1년이내,-,-,9,28,39,38,41,67,57,54
"강력범죄","유사강간","이종",2년이내,-,-,4,29,37,31,34,30,33,48
"강력범죄","유사강간","이종",3년이내,-,-,9,18,19,23,39,43,41,46
"강력범죄","유사강간","이종",3년초과,-,-,42,82,110,145,155,156,163,161
"강력범죄","강제추행","계",계,-,-,6793,7239,7593,8268,9168,8501,8557,7940
"강력범죄","강제추행","동종",계,-,-,807,784,788,772,1033,1092,1165,1027
"강력범죄","강제추행","동종",1개월이내,-,-,17,23,23,21,35,37,25,39
"강력범죄","강제추행","동종",3개월이내,-,-,44,31,32,34,52,57,58,56
"강력범죄","강제추행","동종",6개월이내,-,-,61,64,57,41,52,69,61,65
"강력범죄","강제추행","동종",1년이내,-,-,177,155,156,167,202,242,266,250
"강력범죄","강제추행","동종",2년이내,-,-,117,147,105,142,181,200,178,128
"강력범죄","강제추행","동종",3년이내,-,-,133,102,112,121,147,151,192,161
"강력범죄","강제추행","동종",3년초과,-,-,258,262,303,246,364,336,385,328
"강력범죄","강제추행","이종",계,-,-,5986,6455,6805,7496,8135,7409,7392,6913
"강력범죄","강제추행","이종",1개월이내,-,-,148,138,156,131,145,98,80,82
"강력범죄","강제추행","이종",3개월이내,-,-,215,187,211,196,228,218,208,200
"강력범죄","강제추행","이종",6개월이내,-,-,257,266,321,317,328,299,226,247
"강력범죄","강제추행","이종",1년이내,-,-,820,907,944,984,1128,1036,965,854
"강력범죄","강제추행","이종",2년이내,-,-,616,711,731,772,865,858,801,698
"강력범죄","강제추행","이종",3년이내,-,-,798,692,693,834,858,841,847,789
"강력범죄","강제추행","이종",3년초과,-,-,3132,3554,3749,4262,4583,4059,4265,4043
"강력범죄","기타 강간·강제추행등","계",계,-,-,1157,696,387,315,199,255,259,204
"강력범죄","기타 강간·강제추행등","동종",계,-,-,185,83,46,28,19,57,66,46
"강력범죄","기타 강간·강제추행등","동종",1개월이내,-,-,8,2,2,-,-,2,2,-
"강력범죄","기타 강간·강제추행등","동종",3개월이내,-,-,9,1,2,2,2,4,2,3
"강력범죄","기타 강간·강제추행등","동종",6개월이내,-,-,9,1,4,1,-,4,2,4
"강력범죄","기타 강간·강제추행등","동종",1년이내,-,-,32,18,10,7,4,10,19,8
"강력범죄","기타 강간·강제추행등","동종",2년이내,-,-,27,11,7,5,2,7,4,4
"강력범죄","기타 강간·강제추행등","동종",3년이내,-,-,32,11,3,6,2,7,11,10
"강력범죄","기타 강간·강제추행등","동종",3년초과,-,-,68,39,18,7,9,23,26,17
"강력범죄","기타 강간·강제추행등","이종",계,-,-,972,613,341,287,180,198,193,158
"강력범죄","기타 강간·강제추행등","이종",1개월이내,-,-,40,16,15,7,6,7,5,6
"강력범죄","기타 강간·강제추행등","이종",3개월이내,-,-,60,23,16,12,9,7,12,10
"강력범죄","기타 강간·강제추행등","이종",6개월이내,-,-,61,32,35,14,10,7,12,13
"강력범죄","기타 강간·강제추행등","이종",1년이내,-,-,203,125,58,57,42,44,39,29
"강력범죄","기타 강간·강제추행등","이종",2년이내,-,-,122,83,36,45,23,18,27,11
"강력범죄","기타 강간·강제추행등","이종",3년이내,-,-,118,61,44,26,20,15,20,16
"강력범죄","기타 강간·강제추행등","이종",3년초과,-,-,368,273,137,126,70,100,78,73
"강력범죄","방화","계",계,977,963,961,1003,1075,935,858,910,856,792
"강력범죄","방화","동종",계,92,85,89,80,69,83,81,92,72,92
"강력범죄","방화","동종",1개월이내,10,6,7,8,4,1,3,12,7,8
"강력범죄","방화","동종",3개월이내,9,6,4,6,6,4,8,10,8,6
"강력범죄","방화","동종",6개월이내,5,8,5,8,9,6,8,10,3,7
"강력범죄","방화","동종",1년이내,25,20,25,19,16,20,16,22,14,19
"강력범죄","방화","동종",2년이내,10,11,6,9,8,12,12,4,15,17
"강력범죄","방화","동종",3년이내,7,10,15,11,14,14,11,13,8,11
"강력범죄","방화","동종",3년초과,26,24,27,19,12,26,23,21,17,24
"강력범죄","방화","이종",계,885,878,872,923,1006,852,777,818,784,700
"강력범죄","방화","이종",1개월이내,21,39,24,26,30,18,29,24,24,17
"강력범죄","방화","이종",3개월이내,44,42,43,32,42,31,41,39,24,37
"강력범죄","방화","이종",6개월이내,43,49,56,40,43,52,43,38,48,36
"강력범죄","방화","이종",1년이내,141,140,147,170,160,140,118,132,122,103
"강력범죄","방화","이종",2년이내,102,99,84,92,106,91,99,103,109,78
"강력범죄","방화","이종",3년이내,112,94,99,104,111,99,89,91,79,87
"강력범죄","방화","이종",3년초과,422,415,419,459,514,421,358,391,378,342
"절도범죄","소계","계",계,57431,58018,59482,53016,57047,59090,59461,55663,57279,56375
"절도범죄","소계","동종",계,26744,27587,25814,22254,23998,24641,24649,23838,24832,24423
"절도범죄","소계","동종",1개월이내,3091,3647,3105,2309,2588,2719,2522,2446,2483,2780
"절도범죄","소계","동종",3개월이내,3856,4353,3356,2770,2934,2969,2871,2740,2772,2900
"절도범죄","소계","동종",6개월이내,2577,3107,2767,2398,2544,2594,2623,2571,2392,2465
"절도범죄","소계","동종",1년이내,7384,7314,7056,6066,6184,6495,6624,6485,6719,6446
"절도범죄","소계","동종",2년이내,3378,3131,2961,2615,2907,3002,3145,3099,3401,3044
"절도범죄","소계","동종",3년이내,2716,2703,2929,2423,2636,2577,2583,2612,2918,2697
"절도범죄","소계","동종",3년초과,3742,3332,3640,3673,4205,4285,4281,3885,4147,4091
"절도범죄","소계","이종",계,30687,30431,33668,30762,33049,34449,34812,31825,32447,31952
"절도범죄","소계","이종",1개월이내,1161,1662,1977,1575,1587,1566,1305,1346,1321,1468
"절도범죄","소계","이종",3개월이내,1768,1931,2479,2012,2058,2059,1876,1747,1735,1673
"절도범죄","소계","이종",6개월이내,1586,1919,2498,2042,2040,1988,2037,1753,1688,1544
"절도범죄","소계","이종",1년이내,5234,5287,5883,5281,5552,5603,5688,5070,4795,4705
"절도범죄","소계","이종",2년이내,3650,3265,3358,3154,3361,3511,3568,3298,3233,2885
"절도범죄","소계","이종",3년이내,3679,3312,3762,3106,3343,3360,3546,3124,3157,2953
"절도범죄","소계","이종",3년초과,13609,13055,13711,13592,15108,16362,16792,15487,16518,16724
"폭력범죄","소계","계",계,195306,211660,196358,180715,182188,182236,170648,160586,160468,148302
"폭력범죄","소계","동종",계,69867,71919,62638,55006,49736,46902,45120,44320,43224,39267
"폭력범죄","소계","동종",1개월이내,2765,3127,2079,1747,1625,1664,1626,1662,1604,1622
"폭력범죄","소계","동종",3개월이내,4797,5330,3886,3271,3215,3100,3134,3073,2985,2788
"폭력범죄","소계","동종",6개월이내,4474,5123,4323,4109,3485,3378,3356,3444,3197,3069
"폭력범죄","소계","동종",1년이내,14440,15146,13249,11774,10678,10315,10122,9724,9843,9084
"폭력범죄","소계","동종",2년이내,9727,9734,8679,8174,6876,6564,6248,6442,6222,5454
"폭력범죄","소계","동종",3년이내,9781,9691,9303,7113,6637,6078,5770,5696,5703,4839
"폭력범죄","소계","동종",3년초과,23883,23768,21119,18818,17220,15803,14864,14279,13670,12411
"폭력범죄","소계","이종",계,125439,139741,133720,125709,132452,135334,125528,116266,117244,109035
"폭력범죄","소계","이종",1개월이내,2840,4198,2855,2536,2366,2568,2039,1647,1607,1536
"폭력범죄","소계","이종",3개월이내,5070,5790,4663,3968,4475,4670,4436,3528,3487,3275
"폭력범죄","소계","이종",6개월이내,5343,6291,5680,5640,5774,5873,5646,4942,4507,4131
"폭력범죄","소계","이종",1년이내,19032,20496,19267,18629,19714,20237,19426,16890,16288,14756
"폭력범죄","소계","이종",2년이내,16134,16672,14998,14894,15717,15906,14608,14165,13809,11740
"폭력범죄","소계","이종",3년이내,16796,18074,18258,14860,15529,16107,14807,13791,14367,12483
"폭력범죄","소계","이종",3년초과,60224,68220,67999,65182,68877,69973,64566,61303,63179,61114
"폭력범죄","상해","계",계,59719,59179,52622,45878,41842,44716,39709,34854,32049,28646
"폭력범죄","상해","동종",계,23062,21777,17791,15292,12976,13497,12302,11089,9761,8736
"폭력범죄","상해","동종",1개월이내,736,690,478,367,337,408,342,317,255,252
"폭력범죄","상해","동종",3개월이내,1413,1404,948,756,694,720,722,587,524,472
"폭력범죄","상해","동종",6개월이내,1397,1437,1162,998,805,831,805,726,606,584
"폭력범죄","상해","동종",1년이내,4551,4366,3490,3067,2549,2819,2591,2194,1958,1816
"폭력범죄","상해","동종",2년이내,3279,3037,2528,2244,1798,1901,1675,1580,1368,1226
"폭력범죄","상해","동종",3년이내,3275,2997,2680,2016,1735,1792,1601,1448,1326,1042
"폭력범죄","상해","동종",3년초과,8411,7846,6505,5844,5058,5026,4566,4237,3724,3344
"폭력범죄","상해","이종",계,36657,37402,34831,30586,28866,31219,27407,23765,22288,19910
"폭력범죄","상해","이종",1개월이내,657,920,603,474,463,519,383,289,254,238
"폭력범죄","상해","이종",3개월이내,1274,1283,1051,868,881,964,862,613,569,519
"폭력범죄","상해","이종",6개월이내,1404,1525,1351,1184,1076,1269,1095,957,767,709
"폭력범죄","상해","이종",1년이내,5116,4943,4667,4236,3977,4476,4046,3392,3013,2624
"폭력범죄","상해","이종",2년이내,4519,4261,3787,3489,3391,3675,3225,2867,2616,2169
"폭력범죄","상해","이종",3년이내,4792,4782,4636,3514,3311,3611,3200,2774,2738,2260
"폭력범죄","상해","이종",3년초과,18895,19688,18736,16821,15767,16705,14596,12873,12331,11391
"폭력범죄","폭행","계",계,58551,67122,67253,64896,72047,82208,78850,76592,77946,70520
"폭력범죄","폭행","동종",계,22430,24318,22620,20724,20175,21979,22093,22709,23083,20595
"폭력범죄","폭행","동종",1개월이내,903,1034,668,651,611,704,707,767,746,730
"폭력범죄","폭행","동종",3개월이내,1539,1747,1318,1250,1262,1416,1466,1470,1532,1358
"폭력범죄","폭행","동종",6개월이내,1468,1687,1525,1517,1422,1599,1576,1703,1672,1488
"폭력범죄","폭행","동종",1년이내,4505,4849,4704,4306,4260,4611,4873,4855,5176,4621
"폭력범죄","폭행","동종",2년이내,3090,3326,3047,3089,2787,3081,3101,3285,3328,2842
"폭력범죄","폭행","동종",3년이내,3076,3338,3471,2712,2709,2860,2785,2969,3035,2579
"폭력범죄","폭행","동종",3년초과,7849,8337,7887,7199,7124,7708,7585,7660,7594,6977
"폭력범죄","폭행","이종",계,36121,42804,44633,44172,51872,60229,56757,53883,54863,49925
"폭력범죄","폭행","이종",1개월이내,694,1073,845,810,846,945,762,582,572,524
"폭력범죄","폭행","이종",3개월이내,1323,1557,1430,1248,1584,1937,1806,1436,1432,1367
"폭력범죄","폭행","이종",6개월이내,1425,1757,1825,1866,2134,2578,2438,2134,1964,1720
"폭력범죄","폭행","이종",1년이내,5183,5816,6042,6176,7240,8516,8314,7244,7099,6243
"폭력범죄","폭행","이종",2년이내,4678,5021,4864,5163,5976,7027,6450,6473,6270,5225
"폭력범죄","폭행","이종",3년이내,4862,5574,6191,5235,6052,7214,6770,6321,6744,5709
"폭력범죄","폭행","이종",3년초과,17956,22006,23436,23674,28040,32012,30217,29693,30782,29137
"폭력범죄","체포·감금","계",계,419,498,513,459,539,844,894,687,681,724
