"죄종별(1)","죄종별(2)","재범종류별(1)",재범기간별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"폭력범죄","폭력행위등","이종",1년이내,5764,6356,5429,4938,4728,2547,2366,2040,1725,1506
"폭력범죄","폭력행위등","이종",2년이내,4577,4946,4024,3805,3605,1855,1654,1423,1325,998
"폭력범죄","폭력행위등","이종",3년이내,4713,5096,4725,3686,3414,1732,1523,1323,1101,1008
"폭력범죄","폭력행위등","이종",3년초과,15029,16830,16049,14561,13733,6181,5147,4148,3663,3738
"폭력범죄","공갈","계",계,1949,3223,1833,2211,1580,2000,1872,1682,1619,1599
"폭력범죄","공갈","동종",계,512,902,497,583,344,469,486,485,465,483
"폭력범죄","공갈","동종",1개월이내,78,134,48,53,40,45,64,51,66,85
"폭력범죄","공갈","동종",3개월이내,69,179,73,71,47,75,74,83,66,84
"폭력범죄","공갈","동종",6개월이내,56,92,64,83,38,53,51,69,67,63
"폭력범죄","공갈","동종",1년이내,173,271,147,186,98,157,154,155,142,118
"폭력범죄","공갈","동종",2년이내,64,88,47,74,34,36,48,53,40,56
"폭력범죄","공갈","동종",3년이내,32,51,63,62,39,44,48,36,48,47
"폭력범죄","공갈","동종",3년초과,40,87,55,54,48,59,47,38,36,30
"폭력범죄","공갈","이종",계,1437,2321,1336,1628,1236,1531,1386,1197,1154,1116
"폭력범죄","공갈","이종",1개월이내,130,182,76,86,55,89,68,67,56,82
"폭력범죄","공갈","이종",3개월이내,139,238,110,110,78,113,114,88,102,80
"폭력범죄","공갈","이종",6개월이내,121,200,98,120,110,105,121,96,94,81
"폭력범죄","공갈","이종",1년이내,378,602,337,359,306,396,338,309,277,264
"폭력범죄","공갈","이종",2년이내,187,249,166,181,142,162,156,149,135,133
"폭력범죄","공갈","이종",3년이내,140,238,141,194,136,201,142,147,144,129
"폭력범죄","공갈","이종",3년초과,342,612,408,578,409,465,447,341,346,347
"폭력범죄","손괴","계",계,18905,20211,19887,19578,20169,22102,21845,21633,22961,22815
"폭력범죄","손괴","동종",계,3764,3885,3422,3139,2817,3010,3061,3335,3446,3426
"폭력범죄","손괴","동종",1개월이내,219,233,170,155,155,169,166,180,184,203
"폭력범죄","손괴","동종",3개월이내,363,380,270,245,244,252,265,318,271,303
"폭력범죄","손괴","동종",6개월이내,320,312,276,310,249,253,259,302,258,325
"폭력범죄","손괴","동종",1년이내,818,941,793,786,680,742,758,832,873,887
"폭력범죄","손괴","동종",2년이내,563,530,521,458,416,441,454,521,562,486
"폭력범죄","손괴","동종",3년이내,511,502,506,361,338,386,424,390,472,433
"폭력범죄","손괴","동종",3년초과,970,987,886,824,735,767,735,792,826,789
"폭력범죄","손괴","이종",계,15141,16326,16465,16439,17352,19092,18784,18298,19515,19389
"폭력범죄","손괴","이종",1개월이내,401,503,386,349,342,423,329,292,311,289
"폭력범죄","손괴","이종",3개월이내,642,690,604,543,632,671,669,578,602,566
"폭력범죄","손괴","이종",6개월이내,646,739,684,764,788,800,868,802,779,742
"폭력범죄","손괴","이종",1년이내,2273,2418,2398,2464,2752,2900,2983,2660,2751,2686
"폭력범죄","손괴","이종",2년이내,1977,1916,1901,1970,2089,2186,2181,2249,2296,2189
"폭력범죄","손괴","이종",3년이내,2060,2094,2253,1953,2049,2285,2175,2225,2356,2245
"폭력범죄","손괴","이종",3년초과,7142,7966,8239,8396,8700,9827,9579,9492,10420,10672
"지능범죄","소계","계",계,91668,99045,107511,107116,112410,109416,103353,107853,116821,117197
"지능범죄","소계","동종",계,30175,31539,37151,36513,39048,38642,35845,37873,41093,42549
"지능범죄","소계","동종",1개월이내,3066,3249,3684,3454,3259,3382,3013,3329,3565,4047
"지능범죄","소계","동종",3개월이내,2769,3311,3712,3293,3561,3636,3563,3910,4107,4316
"지능범죄","소계","동종",6개월이내,2111,2389,2848,3053,3335,3372,3400,3662,4043,4065
"지능범죄","소계","동종",1년이내,9703,10012,12196,11773,12888,12777,11668,12313,13631,14718
"지능범죄","소계","동종",2년이내,3497,3272,3760,3806,3902,3853,3603,3991,4322,4312
"지능범죄","소계","동종",3년이내,3864,3977,4652,4434,4487,4445,4284,4440,4839,4747
"지능범죄","소계","동종",3년초과,5165,5329,6299,6700,7616,7177,6314,6228,6586,6344
"지능범죄","소계","이종",계,61493,67506,70360,70603,73362,70774,67508,69980,75728,74648
"지능범죄","소계","이종",1개월이내,1245,1871,1681,1603,1681,1634,1510,1441,1503,1653
"지능범죄","소계","이종",3개월이내,1792,2137,2263,2050,2388,2289,2397,2376,2308,2360
"지능범죄","소계","이종",6개월이내,1733,2280,2528,2610,3097,2933,2858,3005,3088,3016
"지능범죄","소계","이종",1년이내,11719,12043,13135,13087,14376,13824,12956,13397,14207,14954
"지능범죄","소계","이종",2년이내,7078,7033,7203,7397,7506,7300,6945,7487,7754,7241
"지능범죄","소계","이종",3년이내,9030,9698,10297,9126,9013,8791,8334,8806,9530,9356
"지능범죄","소계","이종",3년초과,28896,32444,33253,34730,35301,34003,32508,33468,37338,36068
"지능범죄","직무유기","계",계,50,80,65,43,51,40,31,20,26,19
"지능범죄","직무유기","동종",계,3,6,1,1,2,1,-,1,-,1
"지능범죄","직무유기","동종",1개월이내,-,-,-,-,-,-,-,-,-,-
"지능범죄","직무유기","동종",3개월이내,-,2,-,-,-,-,-,-,-,-
"지능범죄","직무유기","동종",6개월이내,-,2,-,-,-,-,-,-,-,-
"지능범죄","직무유기","동종",1년이내,2,-,-,-,-,1,-,-,-,-
"지능범죄","직무유기","동종",2년이내,-,-,-,-,1,-,-,-,-,-
"지능범죄","직무유기","동종",3년이내,-,-,-,1,-,-,-,-,-,-
"지능범죄","직무유기","동종",3년초과,1,2,1,-,1,-,-,1,-,1
"지능범죄","직무유기","이종",계,47,74,64,42,49,39,31,19,26,18
"지능범죄","직무유기","이종",1개월이내,-,1,1,1,1,-,-,-,-,-
"지능범죄","직무유기","이종",3개월이내,-,1,-,-,-,-,-,1,-,-
"지능범죄","직무유기","이종",6개월이내,-,-,2,2,-,1,1,-,-,-
"지능범죄","직무유기","이종",1년이내,5,4,4,2,6,5,3,5,1,-
"지능범죄","직무유기","이종",2년이내,2,-,4,-,3,3,1,-,1,1
"지능범죄","직무유기","이종",3년이내,5,6,4,1,7,2,1,-,3,2
"지능범죄","직무유기","이종",3년초과,35,62,49,36,32,28,25,13,21,15
"지능범죄","직권남용","계",계,31,42,37,37,31,29,54,56,49,26
"지능범죄","직권남용","동종",계,2,1,2,1,2,-,3,2,3,1
"지능범죄","직권남용","동종",1개월이내,-,-,-,1,-,-,-,-,-,-
"지능범죄","직권남용","동종",3개월이내,-,-,-,-,-,-,-,-,-,-
"지능범죄","직권남용","동종",6개월이내,-,1,-,-,-,-,-,-,-,-
"지능범죄","직권남용","동종",1년이내,-,-,-,-,-,-,1,-,1,-
"지능범죄","직권남용","동종",2년이내,-,-,-,-,-,-,-,-,-,-
"지능범죄","직권남용","동종",3년이내,-,-,1,-,1,-,-,-,-,-
"지능범죄","직권남용","동종",3년초과,2,-,1,-,1,-,2,2,2,1
"지능범죄","직권남용","이종",계,29,41,35,36,29,29,51,54,46,25
"지능범죄","직권남용","이종",1개월이내,-,3,1,1,2,-,-,-,-,-
"지능범죄","직권남용","이종",3개월이내,-,-,2,-,-,1,-,-,-,-
"지능범죄","직권남용","이종",6개월이내,1,-,2,-,-,-,-,3,2,1
"지능범죄","직권남용","이종",1년이내,8,7,1,1,5,2,2,1,6,-
"지능범죄","직권남용","이종",2년이내,1,6,1,5,1,1,2,1,2,-
"지능범죄","직권남용","이종",3년이내,1,5,2,4,3,6,1,2,2,4
"지능범죄","직권남용","이종",3년초과,18,20,26,25,18,19,46,47,34,20
"지능범죄","증수뢰","계",계,562,396,424,387,330,378,552,418,388,305
"지능범죄","증수뢰","동종",계,48,39,35,29,22,15,48,14,23,10
"지능범죄","증수뢰","동종",1개월이내,4,1,1,1,1,-,1,-,-,-
"지능범죄","증수뢰","동종",3개월이내,2,1,1,1,-,-,-,1,-,1
"지능범죄","증수뢰","동종",6개월이내,2,4,-,1,-,-,2,1,1,-
"지능범죄","증수뢰","동종",1년이내,19,11,12,8,9,7,9,2,3,6
"지능범죄","증수뢰","동종",2년이내,5,3,5,1,-,1,14,1,6,-
"지능범죄","증수뢰","동종",3년이내,1,4,4,3,5,3,6,1,2,1
"지능범죄","증수뢰","동종",3년초과,15,15,12,14,7,4,16,8,11,2
"지능범죄","증수뢰","이종",계,514,357,389,358,308,363,504,404,365,295
"지능범죄","증수뢰","이종",1개월이내,7,4,2,1,-,3,6,2,1,2
"지능범죄","증수뢰","이종",3개월이내,7,6,3,2,3,-,4,2,4,-
"지능범죄","증수뢰","이종",6개월이내,6,3,6,3,8,8,8,6,4,5
"지능범죄","증수뢰","이종",1년이내,81,44,34,38,40,54,61,46,31,31
"지능범죄","증수뢰","이종",2년이내,51,18,27,21,22,19,27,31,21,18
"지능범죄","증수뢰","이종",3년이내,35,34,33,34,17,34,51,40,37,29
"지능범죄","증수뢰","이종",3년초과,327,248,284,259,218,245,347,277,267,210
"지능범죄","통화","계",계,53,78,91,76,79,65,118,60,47,22
"지능범죄","통화","동종",계,11,13,14,24,24,15,11,8,16,9
"지능범죄","통화","동종",1개월이내,-,-,3,3,4,4,2,2,1,-
"지능범죄","통화","동종",3개월이내,-,-,1,5,-,4,-,1,1,2
"지능범죄","통화","동종",6개월이내,1,2,2,2,2,1,2,1,1,-
"지능범죄","통화","동종",1년이내,3,7,4,5,7,-,2,1,3,3
"지능범죄","통화","동종",2년이내,-,-,-,-,3,3,-,-,1,1
"지능범죄","통화","동종",3년이내,5,1,2,6,1,1,1,1,3,1
"지능범죄","통화","동종",3년초과,2,3,2,3,7,2,4,2,6,2
"지능범죄","통화","이종",계,42,65,77,52,55,50,107,52,31,13
"지능범죄","통화","이종",1개월이내,-,2,3,-,2,-,-,-,-,1
"지능범죄","통화","이종",3개월이내,2,-,4,3,4,3,2,4,1,-
"지능범죄","통화","이종",6개월이내,5,2,5,4,6,4,5,1,-,1
"지능범죄","통화","이종",1년이내,17,18,12,6,16,16,17,4,10,5
"지능범죄","통화","이종",2년이내,2,12,7,3,8,12,13,1,7,2
"지능범죄","통화","이종",3년이내,4,9,9,9,8,8,23,23,4,1
"지능범죄","통화","이종",3년초과,12,22,37,27,11,7,47,19,9,3
"지능범죄","문서·인장","계",계,5817,6025,6602,6442,6293,5915,4964,4506,4489,4362
"지능범죄","문서·인장","동종",계,850,899,1356,1385,1334,1375,1050,876,877,923
"지능범죄","문서·인장","동종",1개월이내,51,66,86,95,80,128,76,50,56,58
"지능범죄","문서·인장","동종",3개월이내,55,71,123,110,99,134,113,74,79,89
"지능범죄","문서·인장","동종",6개월이내,48,90,127,118,152,133,100,90,74,97
"지능범죄","문서·인장","동종",1년이내,291,282,465,506,459,545,368,333,323,343
"지능범죄","문서·인장","동종",2년이내,101,111,151,154,163,107,116,98,109,102
"지능범죄","문서·인장","동종",3년이내,121,113,180,175,142,161,124,108,110,98
"지능범죄","문서·인장","동종",3년초과,183,166,224,227,239,167,153,123,126,136
"지능범죄","문서·인장","이종",계,4967,5126,5246,5057,4959,4540,3914,3630,3612,3439
"지능범죄","문서·인장","이종",1개월이내,99,199,144,112,123,116,114,71,63,67
"지능범죄","문서·인장","이종",3개월이내,142,202,169,135,166,149,145,120,114,117
"지능범죄","문서·인장","이종",6개월이내,154,225,166,200,218,190,168,143,158,128
"지능범죄","문서·인장","이종",1년이내,936,996,1020,923,1025,950,765,678,680,637
"지능범죄","문서·인장","이종",2년이내,539,545,536,578,529,470,405,375,360,328
"지능범죄","문서·인장","이종",3년이내,665,647,719,648,602,490,442,444,426,441
"지능범죄","문서·인장","이종",3년초과,2432,2312,2492,2461,2296,2175,1875,1799,1811,1721
"지능범죄","유가증권인지","계",계,270,210,174,203,146,125,126,81,57,39
"지능범죄","유가증권인지","동종",계,48,36,44,40,32,29,27,14,10,7
"지능범죄","유가증권인지","동종",1개월이내,2,-,4,1,4,-,3,2,2,-
"지능범죄","유가증권인지","동종",3개월이내,1,2,3,-,1,7,1,2,-,-
"지능범죄","유가증권인지","동종",6개월이내,4,2,2,-,-,1,2,-,-,-
"지능범죄","유가증권인지","동종",1년이내,15,14,8,17,8,10,13,5,3,2
"지능범죄","유가증권인지","동종",2년이내,9,2,5,-,5,3,-,2,1,1
"지능범죄","유가증권인지","동종",3년이내,5,4,12,6,4,2,4,1,1,1
"지능범죄","유가증권인지","동종",3년초과,12,12,10,16,10,6,4,2,3,3
"지능범죄","유가증권인지","이종",계,222,174,130,163,114,96,99,67,47,32
"지능범죄","유가증권인지","이종",1개월이내,4,2,-,1,1,1,-,7,-,2
"지능범죄","유가증권인지","이종",3개월이내,12,6,3,3,1,5,2,1,-,-
"지능범죄","유가증권인지","이종",6개월이내,8,4,1,7,3,11,7,3,3,-
"지능범죄","유가증권인지","이종",1년이내,53,27,24,28,26,11,17,11,7,5
"지능범죄","유가증권인지","이종",2년이내,26,18,10,19,12,11,17,8,4,4
"지능범죄","유가증권인지","이종",3년이내,36,30,15,26,11,14,17,9,7,2
"지능범죄","유가증권인지","이종",3년초과,83,87,77,79,60,43,39,28,26,19
"지능범죄","사기","계",계,74252,79849,85967,85702,90102,87713,82948,88559,97171,97665
"지능범죄","사기","동종",계,27955,29151,33930,33177,35611,35130,32813,35000,37922,39212
"지능범죄","사기","동종",1개월이내,2959,3110,3504,3261,3072,3156,2849,3178,3388,3826
"지능범죄","사기","동종",3개월이내,2625,3144,3455,3060,3333,3354,3305,3698,3852,4006
"지능범죄","사기","동종",6개월이내,1999,2212,2605,2784,3055,3097,3142,3403,3767,3757
"지능범죄","사기","동종",1년이내,8982,9296,11155,10602,11755,11546,10712,11336,12630,13626
"지능범죄","사기","동종",2년이내,3229,3001,3384,3434,3513,3500,3263,3619,3925,3946
"지능범죄","사기","동종",3년이내,3539,3648,4205,4009,4045,4012,3889,4099,4437,4352
"지능범죄","사기","동종",3년초과,4622,4740,5622,6027,6838,6465,5653,5667,5923,5699
"지능범죄","사기","이종",계,46297,50698,52037,52525,54491,52583,50135,53559,59249,58453
"지능범죄","사기","이종",1개월이내,990,1361,1275,1260,1279,1259,1178,1197,1258,1399
"지능범죄","사기","이종",3개월이내,1380,1610,1760,1618,1844,1803,1909,1947,1947,1928
"지능범죄","사기","이종",6개월이내,1303,1706,1949,1988,2346,2259,2241,2439,2550,2504
"지능범죄","사기","이종",1년이내,9044,9157,10010,9962,11025,10636,10069,10717,11572,12422
"지능범죄","사기","이종",2년이내,5423,5336,5406,5538,5649,5568,5323,5933,6265,5909
"지능범죄","사기","이종",3년이내,6999,7494,7858,6971,6813,6680,6358,6918,7596,7464
"지능범죄","사기","이종",3년초과,21158,24034,23779,25188,25535,24378,23057,24408,28061,26827
"지능범죄","횡령","계",계,8912,10545,12057,11464,13412,13254,12568,12429,12932,13269
"지능범죄","횡령","동종",계,1087,1235,1564,1567,1881,1920,1758,1830,2072,2272
"지능범죄","횡령","동종",1개월이내,47,66,83,81,89,90,79,94,114,158
"지능범죄","횡령","동종",3개월이내,82,85,117,104,122,132,136,131,167,210
"지능범죄","횡령","동종",6개월이내,49,70,108,120,118,132,145,161,190,205
"지능범죄","횡령","동종",1년이내,336,345,478,510,608,612,520,599,604,703
"지능범죄","횡령","동종",2년이내,129,140,195,182,202,228,197,257,268,250
"지능범죄","횡령","동종",3년이내,153,185,209,210,271,239,233,209,263,276
"지능범죄","횡령","동종",3년초과,291,344,374,360,471,487,448,379,466,470
"지능범죄","횡령","이종",계,7825,9310,10493,9897,11531,11334,10810,10599,10860,10997
"지능범죄","횡령","이종",1개월이내,136,273,228,194,249,231,200,154,174,174
"지능범죄","횡령","이종",3개월이내,213,289,303,257,341,299,308,283,231,303
"지능범죄","횡령","이종",6개월이내,232,303,349,312,463,414,386,373,342,347
"지능범죄","횡령","이종",1년이내,1366,1552,1743,1785,1963,1897,1773,1712,1678,1665
"지능범죄","횡령","이종",2년이내,899,951,1054,1006,1122,1090,1017,1031,978,901
"지능범죄","횡령","이종",3년이내,1057,1255,1437,1175,1356,1339,1245,1184,1304,1287
"지능범죄","횡령","이종",3년초과,3922,4687,5379,5168,6037,6064,5881,5862,6153,6320
"지능범죄","배임","계",계,1721,1820,2094,2762,1966,1897,1992,1724,1662,1490
"지능범죄","배임","동종",계,171,159,205,289,140,157,135,128,170,114
"지능범죄","배임","동종",1개월이내,3,6,3,11,9,4,3,3,4,5
"지능범죄","배임","동종",3개월이내,4,6,12,13,6,5,8,3,8,8
"지능범죄","배임","동종",6개월이내,8,6,4,28,8,8,7,6,10,6
"지능범죄","배임","동종",1년이내,55,57,74,125,42,56,43,37,64,35
"지능범죄","배임","동종",2년이내,24,15,20,35,15,11,13,14,12,12
"지능범죄","배임","동종",3년이내,40,22,39,24,18,27,27,21,23,18
"지능범죄","배임","동종",3년초과,37,47,53,53,42,46,34,44,49,30
"지능범죄","배임","이종",계,1550,1661,1889,2473,1826,1740,1857,1596,1492,1376
"지능범죄","배임","이종",1개월이내,9,26,27,33,24,24,12,10,7,8
"지능범죄","배임","이종",3개월이내,36,23,19,32,29,29,27,18,11,12
"지능범죄","배임","이종",6개월이내,24,37,48,94,53,46,42,37,29,30
"지능범죄","배임","이종",1년이내,209,238,287,342,270,253,249,223,222,189
"지능범죄","배임","이종",2년이내,135,147,158,227,160,126,140,107,116,78
"지능범죄","배임","이종",3년이내,228,218,220,258,196,218,196,186,151,126
"지능범죄","배임","이종",3년초과,909,972,1130,1487,1094,1044,1191,1015,956,933
"풍속범죄","소계","계",계,35770,33117,29602,26048,26372,27886,22155,19218,19911,18865
"풍속범죄","소계","동종",계,10474,9252,8364,7002,7339,6789,5782,5038,5070,4219
"풍속범죄","소계","동종",1개월이내,327,292,258,174,206,139,102,114,111,78
"풍속범죄","소계","동종",3개월이내,554,568,391,294,291,268,241,182,179,153
"풍속범죄","소계","동종",6개월이내,583,579,526,367,352,356,282,222,239,184
"풍속범죄","소계","동종",1년이내,2063,1830,1696,1250,1216,1190,1095,925,827,688
"풍속범죄","소계","동종",2년이내,1511,1166,1055,937,880,874,747,659,609,502
"풍속범죄","소계","동종",3년이내,1452,1304,1253,921,995,917,797,716,715,548
"풍속범죄","소계","동종",3년초과,3984,3513,3185,3059,3399,3045,2518,2220,2390,2066
"풍속범죄","소계","이종",계,25296,23865,21238,19046,19033,21097,16373,14180,14841,14646
"풍속범죄","소계","이종",1개월이내,313,402,271,232,218,232,208,127,142,129
"풍속범죄","소계","이종",3개월이내,590,594,403,384,361,429,377,261,249,240
"풍속범죄","소계","이종",6개월이내,599,654,541,518,482,617,517,389,379,349
"풍속범죄","소계","이종",1년이내,3047,2680,2291,2302,2175,2595,2073,1751,1662,1724
"풍속범죄","소계","이종",2년이내,2728,2417,1908,1796,1782,2033,1652,1444,1366,1224
"풍속범죄","소계","이종",3년이내,3335,3072,2888,2097,2089,2424,1783,1607,1778,1617
"풍속범죄","소계","이종",3년초과,14684,14046,12936,11717,11926,12767,9763,8601,9265,9363
"풍속범죄","성풍속범죄","계",계,4388,6715,7223,5379,5147,4793,5126,5265,5099,4963
"풍속범죄","성풍속범죄","동종",계,892,1568,1592,1085,1156,885,1181,1388,1400,1277
"풍속범죄","성풍속범죄","동종",1개월이내,110,157,176,82,116,46,55,77,73,43
"풍속범죄","성풍속범죄","동종",3개월이내,137,218,169,104,80,68,98,107,98,89
"풍속범죄","성풍속범죄","동종",6개월이내,81,165,203,95,77,86,99,84,113,96
"풍속범죄","성풍속범죄","동종",1년이내,268,437,502,370,338,220,310,404,390,287
"풍속범죄","성풍속범죄","동종",2년이내,105,157,180,153,174,144,182,231,225,228
"풍속범죄","성풍속범죄","동종",3년이내,80,196,164,115,144,154,166,199,193,203
"풍속범죄","성풍속범죄","동종",3년초과,111,238,198,166,227,167,271,286,308,331
"풍속범죄","성풍속범죄","이종",계,3496,5147,5631,4294,3991,3908,3945,3877,3699,3686
"풍속범죄","성풍속범죄","이종",1개월이내,70,144,125,91,85,75,76,59,76,73
"풍속범죄","성풍속범죄","이종",3개월이내,94,169,151,131,125,108,149,118,110,130
"풍속범죄","성풍속범죄","이종",6개월이내,94,188,214,150,140,182,190,168,159,145
"풍속범죄","성풍속범죄","이종",1년이내,553,692,800,625,584,578,649,611,624,606
"풍속범죄","성풍속범죄","이종",2년이내,417,537,553,437,430,427,450,463,431,403
"풍속범죄","성풍속범죄","이종",3년이내,550,710,803,461,464,466,477,469,460,458
"풍속범죄","성풍속범죄","이종",3년초과,1718,2707,2985,2399,2163,2072,1954,1989,1839,1871
"풍속범죄","도박범죄","계",계,31382,26402,22379,20669,21225,23093,17029,13953,14812,13902
"풍속범죄","도박범죄","동종",계,9582,7684,6772,5917,6183,5904,4601,3650,3670,2942
"풍속범죄","도박범죄","동종",1개월이내,217,135,82,92,90,93,47,37,38,35
"풍속범죄","도박범죄","동종",3개월이내,417,350,222,190,211,200,143,75,81,64
"풍속범죄","도박범죄","동종",6개월이내,502,414,323,272,275,270,183,138,126,88
"풍속범죄","도박범죄","동종",1년이내,1795,1393,1194,880,878,970,785,521,437,401
"풍속범죄","도박범죄","동종",2년이내,1406,1009,875,784,706,730,565,428,384,274
"풍속범죄","도박범죄","동종",3년이내,1372,1108,1089,806,851,763,631,517,522,345
"풍속범죄","도박범죄","동종",3년초과,3873,3275,2987,2893,3172,2878,2247,1934,2082,1735
"풍속범죄","도박범죄","이종",계,21800,18718,15607,14752,15042,17189,12428,10303,11142,10960
"풍속범죄","도박범죄","이종",1개월이내,243,258,146,141,133,157,132,68,66,56
"풍속범죄","도박범죄","이종",3개월이내,496,425,252,253,236,321,228,143,139,110
"풍속범죄","도박범죄","이종",6개월이내,505,466,327,368,342,435,327,221,220,204
"풍속범죄","도박범죄","이종",1년이내,2494,1988,1491,1677,1591,2017,1424,1140,1038,1118
"풍속범죄","도박범죄","이종",2년이내,2311,1880,1355,1359,1352,1606,1202,981,935,821
"풍속범죄","도박범죄","이종",3년이내,2785,2362,2085,1636,1625,1958,1306,1138,1318,1159
"풍속범죄","도박범죄","이종",3년초과,12966,11339,9951,9318,9763,10695,7809,6612,7426,7492
"특별경제범죄","소계","계",계,37610,45000,38951,41799,41454,38389,36691,36396,38252,32086
"특별경제범죄","소계","동종",계,7868,10161,8693,8675,8630,8031,7544,6714,7303,6239
"특별경제범죄","소계","동종",1개월이내,645,864,748,586,665,617,462,398,379,352
"특별경제범죄","소계","동종",3개월이내,932,1174,937,830,808,761,646,494,492,447
"특별경제범죄","소계","동종",6개월이내,575,887,761,821,807,764,669,583,594,577
"특별경제범죄","소계","동종",1년이내,2514,3186,2774,2676,2694,2356,2222,1899,2164,1803
"특별경제범죄","소계","동종",2년이내,980,1171,945,1077,1026,943,981,1002,1058,844
"특별경제범죄","소계","동종",3년이내,1018,1326,1083,1063,997,947,976,880,984,814
"특별경제범죄","소계","동종",3년초과,1204,1553,1445,1622,1633,1643,1588,1458,1632,1402
"특별경제범죄","소계","이종",계,29742,34839,30258,33124,32824,30358,29147,29682,30949,25847
"특별경제범죄","소계","이종",1개월이내,548,986,610,528,571,496,485,351,330,363
"특별경제범죄","소계","이종",3개월이내,967,1110,943,906,1001,1023,798,755,699,619
"특별경제범죄","소계","이종",6개월이내,833,1133,1098,1253,1331,1215,1149,1037,1040,883
"특별경제범죄","소계","이종",1년이내,4625,4981,4589,5116,5209,4908,4488,4506,4366,3759
"특별경제범죄","소계","이종",2년이내,3272,3425,2980,3365,3571,3254,3025,3157,3209,2560
"특별경제범죄","소계","이종",3년이내,4056,4704,4176,3917,3767,3648,3789,3547,3727,3049
"특별경제범죄","소계","이종",3년초과,15441,18500,15862,18039,17374,15814,15413,16329,17578,14614
"마약범죄","소계","계",계,3382,3395,3539,3462,4458,5305,5487,4638,5746,6233
"마약범죄","소계","동종",계,1861,1867,1852,1684,2197,2503,2755,2256,2695,2671
"마약범죄","소계","동종",1개월이내,39,54,39,50,46,79,74,68,75,86
"마약범죄","소계","동종",3개월이내,59,81,65,54,96,112,142,90,129,150
"마약범죄","소계","동종",6개월이내,67,62,84,100,99,161,203,153,144,156
"마약범죄","소계","동종",1년이내,488,466,491,416,540,618,847,619,676,782
"마약범죄","소계","동종",2년이내,358,331,341,289,387,440,449,392,520,423
"마약범죄","소계","동종",3년이내,370,381,392,323,479,493,478,488,632,581
"마약범죄","소계","동종",3년초과,480,492,440,452,550,600,562,446,519,493
"마약범죄","소계","이종",계,1521,1528,1687,1778,2261,2802,2732,2382,3051,3562
"마약범죄","소계","이종",1개월이내,23,44,26,30,37,40,38,24,41,42
"마약범죄","소계","이종",3개월이내,33,44,47,49,73,98,71,50,65,78
"마약범죄","소계","이종",6개월이내,55,55,62,65,85,100,111,95,108,143
"마약범죄","소계","이종",1년이내,249,245,276,317,355,478,540,432,575,594
"마약범죄","소계","이종",2년이내,228,212,189,195,317,320,290,287,353,389
"마약범죄","소계","이종",3년이내,221,218,269,215,287,366,312,317,405,537
"마약범죄","소계","이종",3년초과,712,710,818,907,1107,1400,1370,1177,1504,1779
"보건범죄","소계","계",계,10024,10819,13413,12088,11009,11204,9377,7599,8408,9860
"보건범죄","소계","동종",계,3840,3934,4597,4479,3990,4047,3288,2637,2892,2603
"보건범죄","소계","동종",1개월이내,117,122,128,106,122,78,78,67,79,84
"보건범죄","소계","동종",3개월이내,190,197,235,224,182,158,129,113,129,143
"보건범죄","소계","동종",6개월이내,224,268,291,297,293,280,197,161,219,183
"보건범죄","소계","동종",1년이내,1002,1151,1254,1378,1210,1253,938,821,795,782
"보건범죄","소계","동종",2년이내,617,485,546,644,563,641,440,394,397,302
"보건범죄","소계","동종",3년이내,492,481,643,536,505,507,457,319,363,297
"보건범죄","소계","동종",3년초과,1198,1230,1500,1294,1115,1130,1049,762,910,812
"보건범죄","소계","이종",계,6184,6885,8816,7609,7019,7157,6089,4962,5516,7257
"보건범죄","소계","이종",1개월이내,86,171,96,114,84,75,50,35,39,49
"보건범죄","소계","이종",3개월이내,135,138,180,127,125,113,95,62,67,87
"보건범죄","소계","이종",6개월이내,128,201,216,170,203,168,149,122,138,128
"보건범죄","소계","이종",1년이내,802,757,995,951,843,797,736,576,588,763
"보건범죄","소계","이종",2년이내,640,550,706,705,636,605,527,476,500,613
"보건범죄","소계","이종",3년이내,762,857,1106,887,703,762,647,539,607,775
"보건범죄","소계","이종",3년초과,3631,4211,5517,4655,4425,4637,3885,3152,3577,4842
"환경범죄","소계","계",계,2029,2127,2484,2057,2132,2538,2918,2652,3353,2908
"환경범죄","소계","동종",계,262,300,330,261,313,344,496,484,639,587
"환경범죄","소계","동종",1개월이내,9,7,8,2,5,4,12,11,11,24
"환경범죄","소계","동종",3개월이내,20,24,10,13,20,26,34,57,62,57
"환경범죄","소계","동종",6개월이내,15,17,18,17,22,31,42,51,58,54
"환경범죄","소계","동종",1년이내,73,72,91,89,83,116,156,158,234,223
"환경범죄","소계","동종",2년이내,31,31,44,32,34,45,66,54,88,63
"환경범죄","소계","동종",3년이내,30,49,44,35,41,37,59,49,67,76
"환경범죄","소계","동종",3년초과,84,100,115,73,108,85,127,104,119,90
"환경범죄","소계","이종",계,1767,1827,2154,1796,1819,2194,2422,2168,2714,2321
"환경범죄","소계","이종",1개월이내,16,28,16,20,14,25,24,17,17,9
"환경범죄","소계","이종",3개월이내,41,36,40,34,31,34,48,32,45,35
"환경범죄","소계","이종",6개월이내,53,48,44,63,55,54,62,63,73,60
"환경범죄","소계","이종",1년이내,218,184,242,235,200,260,333,268,326,305
"환경범죄","소계","이종",2년이내,177,139,157,166,164,210,211,206,245,184
"환경범죄","소계","이종",3년이내,208,192,284,169,169,224,253,256,325,267
