범죄명,연도,검거기간,범죄종류,범죄자수
폭력행위등,2011,1개월이내,폭력범죄,4676
폭력행위등,2011,3개월이내,폭력범죄,3625
폭력행위등,2011,6개월이내,폭력범죄,1231
폭력행위등,2011,1년이내,폭력범죄,796
폭력행위등,2011,1년초과,폭력범죄,862
폭력행위등,2011,미상,폭력범죄,0
공갈,2011,1일이내,폭력범죄,626
공갈,2011,2일이내,폭력범죄,53
공갈,2011,3일이내,폭력범죄,41
공갈,2011,10일이내,폭력범죄,261
공갈,2011,1개월이내,폭력범죄,441
공갈,2011,3개월이내,폭력범죄,597
공갈,2011,6개월이내,폭력범죄,380
공갈,2011,1년이내,폭력범죄,247
공갈,2011,1년초과,폭력범죄,592
손괴,2011,1일이내,폭력범죄,14740
손괴,2011,2일이내,폭력범죄,372
손괴,2011,3일이내,폭력범죄,457
손괴,2011,10일이내,폭력범죄,2332
손괴,2011,1개월이내,폭력범죄,3245
손괴,2011,3개월이내,폭력범죄,2851
손괴,2011,6개월이내,폭력범죄,882
손괴,2011,1년이내,폭력범죄,485
손괴,2011,1년초과,폭력범죄,509
손괴,2011,미상,폭력범죄,1
직무유기,2011,1일이내,지능범죄,1
직무유기,2011,2일이내,지능범죄,1
직무유기,2011,3일이내,지능범죄,1
직무유기,2011,10일이내,지능범죄,4
직무유기,2011,1개월이내,지능범죄,19
직무유기,2011,3개월이내,지능범죄,75
직무유기,2011,6개월이내,지능범죄,45
직무유기,2011,1년이내,지능범죄,49
직무유기,2011,1년초과,지능범죄,111
직권남용,2011,1일이내,지능범죄,0
직권남용,2011,2일이내,지능범죄,1
직권남용,2011,3일이내,지능범죄,2
직권남용,2011,10일이내,지능범죄,5
직권남용,2011,1개월이내,지능범죄,20
직권남용,2011,3개월이내,지능범죄,51
직권남용,2011,6개월이내,지능범죄,25
직권남용,2011,1년이내,지능범죄,27
직권남용,2011,1년초과,지능범죄,42
증수뢰,2011,1일이내,지능범죄,11
증수뢰,2011,2일이내,지능범죄,0
증수뢰,2011,3일이내,지능범죄,0
증수뢰,2011,10일이내,지능범죄,3
증수뢰,2011,1개월이내,지능범죄,7
증수뢰,2011,3개월이내,지능범죄,70
증수뢰,2011,6개월이내,지능범죄,54
증수뢰,2011,1년이내,지능범죄,91
증수뢰,2011,1년초과,지능범죄,335
통화,2011,1일이내,지능범죄,22
통화,2011,2일이내,지능범죄,1
통화,2011,3일이내,지능범죄,3
통화,2011,10일이내,지능범죄,16
통화,2011,1개월이내,지능범죄,38
통화,2011,3개월이내,지능범죄,38
통화,2011,6개월이내,지능범죄,25
통화,2011,1년이내,지능범죄,1
통화,2011,1년초과,지능범죄,5
문서·인장,2011,1일이내,지능범죄,831
문서·인장,2011,2일이내,지능범죄,45
문서·인장,2011,3일이내,지능범죄,41
문서·인장,2011,10일이내,지능범죄,356
문서·인장,2011,1개월이내,지능범죄,1318
문서·인장,2011,3개월이내,지능범죄,2125
