"특성별(1)","특성별(2)","특성별(3)",특성별(4),배달앱및대행별(1),이용여부및비용별(1),이용여부및비용별(2),2019,2020
"운영형태별","프랜차이즈","소계",소계,배달앱,월평균 비용,5만원 미만 (%),4.0,5.8
"운영형태별","프랜차이즈","소계",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),20.2,24.5
"운영형태별","프랜차이즈","소계",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),57.3,45.2
"운영형태별","프랜차이즈","소계",소계,배달앱,월평균 비용,50만원 이상 (%),18.5,19.4
"운영형태별","프랜차이즈","소계",소계,배달앱,월평균 비용,모름 (%),-,5.1
"운영형태별","프랜차이즈","소계",소계,배달앱,월평균 비용,평균 (원),345949.5,382144.4
"운영형태별","프랜차이즈","소계",소계,배달대행,이용여부 (%),예,24.8,33.3
"운영형태별","프랜차이즈","소계",소계,배달대행,이용여부 (%),아니오,75.2,66.7
"운영형태별","프랜차이즈","소계",소계,배달대행,월평균 비용,5만원 미만 (%),8.4,8.2
"운영형태별","프랜차이즈","소계",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),16.8,12.4
"운영형태별","프랜차이즈","소계",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),30.5,35.6
"운영형태별","프랜차이즈","소계",소계,배달대행,월평균 비용,50만원 이상 (%),44.3,39.1
"운영형태별","프랜차이즈","소계",소계,배달대행,월평균 비용,모름 (%),-,4.7
"운영형태별","프랜차이즈","소계",소계,배달대행,월평균 비용,평균 (원),712303.3,1105907.8
"운영형태별","비프랜차이즈","소계",소계,배달앱,이용여부 (%),예,6.7,10.9
"운영형태별","비프랜차이즈","소계",소계,배달앱,이용여부 (%),아니오,93.3,89.1
"운영형태별","비프랜차이즈","소계",소계,배달앱,월평균 비용,5만원 미만 (%),5.5,5.2
"운영형태별","비프랜차이즈","소계",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),26.0,25.4
"운영형태별","비프랜차이즈","소계",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),53.6,49.9
"운영형태별","비프랜차이즈","소계",소계,배달앱,월평균 비용,50만원 이상 (%),14.9,16.5
"운영형태별","비프랜차이즈","소계",소계,배달앱,월평균 비용,모름 (%),-,3.0
"운영형태별","비프랜차이즈","소계",소계,배달앱,월평균 비용,평균 (원),287838.1,328638.7
"운영형태별","비프랜차이즈","소계",소계,배달대행,이용여부 (%),예,6.2,8.8
"운영형태별","비프랜차이즈","소계",소계,배달대행,이용여부 (%),아니오,93.8,91.2
"운영형태별","비프랜차이즈","소계",소계,배달대행,월평균 비용,5만원 미만 (%),5.7,5.8
"운영형태별","비프랜차이즈","소계",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),18.2,15.7
"운영형태별","비프랜차이즈","소계",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),43.7,41.5
"운영형태별","비프랜차이즈","소계",소계,배달대행,월평균 비용,50만원 이상 (%),32.3,33.0
"운영형태별","비프랜차이즈","소계",소계,배달대행,월평균 비용,모름 (%),-,4.0
"운영형태별","비프랜차이즈","소계",소계,배달대행,월평균 비용,평균 (원),510268.0,1187110.9
"지역별","서울권","소계",소계,배달앱,이용여부 (%),예,9.7,19.9
"지역별","서울권","소계",소계,배달앱,이용여부 (%),아니오,90.3,80.1
"지역별","서울권","소계",소계,배달앱,월평균 비용,5만원 미만 (%),6.2,4.6
"지역별","서울권","소계",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),26.7,19.3
"지역별","서울권","소계",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),52.2,49.4
"지역별","서울권","소계",소계,배달앱,월평균 비용,50만원 이상 (%),14.9,19.7
"지역별","서울권","소계",소계,배달앱,월평균 비용,모름 (%),-,7.0
"지역별","서울권","소계",소계,배달앱,월평균 비용,평균 (원),338523.9,370048.4
"지역별","서울권","소계",소계,배달대행,이용여부 (%),예,7.0,16.8
"지역별","서울권","소계",소계,배달대행,이용여부 (%),아니오,93.0,83.2
"지역별","서울권","소계",소계,배달대행,월평균 비용,5만원 미만 (%),11.1,3.5
"지역별","서울권","소계",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),24.7,9.6
"지역별","서울권","소계",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),26.9,33.2
"지역별","서울권","소계",소계,배달대행,월평균 비용,50만원 이상 (%),37.3,48.0
"지역별","서울권","소계",소계,배달대행,월평균 비용,모름 (%),-,5.6
"지역별","서울권","소계",소계,배달대행,월평균 비용,평균 (원),729198.3,2808205.3
"지역별","수도권","소계",소계,배달앱,이용여부 (%),예,10.9,19.2
"지역별","수도권","소계",소계,배달앱,이용여부 (%),아니오,89.1,80.8
"지역별","수도권","소계",소계,배달앱,월평균 비용,5만원 미만 (%),5.7,5.8
"지역별","수도권","소계",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),16.7,24.2
"지역별","수도권","소계",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),57.7,46.8
"지역별","수도권","소계",소계,배달앱,월평균 비용,50만원 이상 (%),19.9,19.3
"지역별","수도권","소계",소계,배달앱,월평균 비용,모름 (%),-,3.9
"지역별","수도권","소계",소계,배달앱,월평균 비용,평균 (원),366492.6,397012.7
"지역별","수도권","소계",소계,배달대행,이용여부 (%),예,10.2,13.3
"지역별","수도권","소계",소계,배달대행,이용여부 (%),아니오,89.8,86.7
"지역별","수도권","소계",소계,배달대행,월평균 비용,5만원 미만 (%),4.3,11.3
"지역별","수도권","소계",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),16.4,16.8
"지역별","수도권","소계",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),41.4,27.3
"지역별","수도권","소계",소계,배달대행,월평균 비용,50만원 이상 (%),37.9,40.8
"지역별","수도권","소계",소계,배달대행,월평균 비용,모름 (%),-,3.8
"지역별","수도권","소계",소계,배달대행,월평균 비용,평균 (원),594338.2,823420.8
"지역별","충청권","소계",소계,배달앱,이용여부 (%),예,10.2,23.7
"지역별","충청권","소계",소계,배달앱,이용여부 (%),아니오,89.8,76.3
"지역별","충청권","소계",소계,배달앱,월평균 비용,5만원 미만 (%),0.0,7.9
"지역별","충청권","소계",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),25.5,12.3
"지역별","충청권","소계",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),67.0,49.0
"지역별","충청권","소계",소계,배달앱,월평균 비용,50만원 이상 (%),7.5,27.5
"지역별","충청권","소계",소계,배달앱,월평균 비용,모름 (%),-,3.3
"지역별","충청권","소계",소계,배달앱,월평균 비용,평균 (원),280249.8,460393.4
"지역별","충청권","소계",소계,배달대행,이용여부 (%),예,7.1,14.0
"지역별","충청권","소계",소계,배달대행,이용여부 (%),아니오,92.9,86.0
"지역별","충청권","소계",소계,배달대행,월평균 비용,5만원 미만 (%),0.0,12.4
"지역별","충청권","소계",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),20.2,13.1
"지역별","충청권","소계",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),31.8,45.6
"지역별","충청권","소계",소계,배달대행,월평균 비용,50만원 이상 (%),48.0,25.8
"지역별","충청권","소계",소계,배달대행,월평균 비용,모름 (%),-,3.1
"지역별","충청권","소계",소계,배달대행,월평균 비용,평균 (원),620168.2,500146.9
"지역별","호남권","소계",소계,배달앱,이용여부 (%),예,10.1,22.8
"지역별","호남권","소계",소계,배달앱,이용여부 (%),아니오,89.9,77.2
"지역별","호남권","소계",소계,배달앱,월평균 비용,5만원 미만 (%),3.6,3.6
"지역별","호남권","소계",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),18.0,30.2
"지역별","호남권","소계",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),65.8,58.5
"지역별","호남권","소계",소계,배달앱,월평균 비용,50만원 이상 (%),12.6,6.8
"지역별","호남권","소계",소계,배달앱,월평균 비용,모름 (%),-,0.8
"지역별","호남권","소계",소계,배달앱,월평균 비용,평균 (원),278019.6,233607.4
"지역별","호남권","소계",소계,배달대행,이용여부 (%),예,10.6,21.2
"지역별","호남권","소계",소계,배달대행,이용여부 (%),아니오,89.4,78.8
"지역별","호남권","소계",소계,배달대행,월평균 비용,5만원 미만 (%),0.7,1.1
"지역별","호남권","소계",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),7.6,1.6
"지역별","호남권","소계",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),41.3,71.3
"지역별","호남권","소계",소계,배달대행,월평균 비용,50만원 이상 (%),50.4,22.3
"지역별","호남권","소계",소계,배달대행,월평균 비용,모름 (%),-,3.6
"지역별","호남권","소계",소계,배달대행,월평균 비용,평균 (원),716456.4,493357.7
"지역별","경남권","소계",소계,배달앱,이용여부 (%),예,16.1,18.7
"지역별","경남권","소계",소계,배달앱,이용여부 (%),아니오,83.9,81.3
"지역별","경남권","소계",소계,배달앱,월평균 비용,5만원 미만 (%),4.0,3.1
"지역별","경남권","소계",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),31.7,34.1
"지역별","경남권","소계",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),45.6,43.2
"지역별","경남권","소계",소계,배달앱,월평균 비용,50만원 이상 (%),18.7,13.9
"지역별","경남권","소계",소계,배달앱,월평균 비용,모름 (%),-,5.7
"지역별","경남권","소계",소계,배달앱,월평균 비용,평균 (원),283893.1,311115.8
"지역별","경남권","소계",소계,배달대행,이용여부 (%),예,15.9,15.6
"지역별","경남권","소계",소계,배달대행,이용여부 (%),아니오,84.1,84.4
"지역별","경남권","소계",소계,배달대행,월평균 비용,5만원 미만 (%),13.8,6.9
"지역별","경남권","소계",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),22.9,20.9
"지역별","경남권","소계",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),32.1,27.4
"지역별","경남권","소계",소계,배달대행,월평균 비용,50만원 이상 (%),31.3,38.3
"지역별","경남권","소계",소계,배달대행,월평균 비용,모름 (%),-,6.4
"지역별","경남권","소계",소계,배달대행,월평균 비용,평균 (원),530281.5,958058.3
"지역별","경북권","소계",소계,배달앱,이용여부 (%),예,8.0,15.2
"지역별","경북권","소계",소계,배달앱,이용여부 (%),아니오,92.0,84.8
"지역별","경북권","소계",소계,배달앱,월평균 비용,5만원 미만 (%),6.6,9.5
"지역별","경북권","소계",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),10.0,43.1
"지역별","경북권","소계",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),63.4,29.6
"지역별","경북권","소계",소계,배달앱,월평균 비용,50만원 이상 (%),20.0,14.6
"지역별","경북권","소계",소계,배달앱,월평균 비용,모름 (%),-,3.2
"지역별","경북권","소계",소계,배달앱,월평균 비용,평균 (원),353602.0,263120.7
"지역별","경북권","소계",소계,배달대행,이용여부 (%),예,6.1,15.3
"지역별","경북권","소계",소계,배달대행,이용여부 (%),아니오,93.9,84.7
"지역별","경북권","소계",소계,배달대행,월평균 비용,5만원 미만 (%),-,6.2
"지역별","경북권","소계",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),6.0,19.4
"지역별","경북권","소계",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),57.7,36.8
"지역별","경북권","소계",소계,배달대행,월평균 비용,50만원 이상 (%),36.4,34.4
"지역별","경북권","소계",소계,배달대행,월평균 비용,모름 (%),-,3.2
"지역별","경북권","소계",소계,배달대행,월평균 비용,평균 (원),523039.2,689385.6
"매출액규모별","5천만원 미만","소계",소계,배달앱,이용여부 (%),예,2.0,6.4
"매출액규모별","5천만원 미만","소계",소계,배달앱,이용여부 (%),아니오,98.0,93.6
"매출액규모별","5천만원 미만","소계",소계,배달앱,월평균 비용,5만원 미만 (%),0.0,4.7
"매출액규모별","5천만원 미만","소계",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),40.3,30.9
"매출액규모별","5천만원 미만","소계",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),59.7,57.1
"매출액규모별","5천만원 미만","소계",소계,배달앱,월평균 비용,50만원 이상 (%),0.0,3.5
"매출액규모별","5천만원 미만","소계",소계,배달앱,월평균 비용,모름 (%),-,3.8
"매출액규모별","5천만원 미만","소계",소계,배달앱,월평균 비용,평균 (원),178260.9,187796.2
"매출액규모별","5천만원 미만","소계",소계,배달대행,이용여부 (%),예,2.3,4.6
"매출액규모별","5천만원 미만","소계",소계,배달대행,이용여부 (%),아니오,97.7,95.4
"매출액규모별","5천만원 미만","소계",소계,배달대행,월평균 비용,5만원 미만 (%),7.4,7.4
"매출액규모별","5천만원 미만","소계",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),47.4,25.9
"매출액규모별","5천만원 미만","소계",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),28.8,46.9
"매출액규모별","5천만원 미만","소계",소계,배달대행,월평균 비용,50만원 이상 (%),16.5,19.7
"매출액규모별","5천만원 미만","소계",소계,배달대행,월평균 비용,모름 (%),-,0.0
"매출액규모별","5천만원 미만","소계",소계,배달대행,월평균 비용,평균 (원),284928.1,482341.2
"매출액규모별","5천만원~1억원 미만","소계",소계,배달앱,이용여부 (%),예,5.9,15.3
"매출액규모별","5천만원~1억원 미만","소계",소계,배달앱,이용여부 (%),아니오,94.1,84.7
"매출액규모별","5천만원~1억원 미만","소계",소계,배달앱,월평균 비용,5만원 미만 (%),4.1,6.1
"매출액규모별","5천만원~1억원 미만","소계",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),21.4,42.1
"매출액규모별","5천만원~1억원 미만","소계",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),59.5,40.1
"매출액규모별","5천만원~1억원 미만","소계",소계,배달앱,월평균 비용,50만원 이상 (%),15.0,10.2
"매출액규모별","5천만원~1억원 미만","소계",소계,배달앱,월평균 비용,모름 (%),-,1.5
"매출액규모별","5천만원~1억원 미만","소계",소계,배달앱,월평균 비용,평균 (원),266616.3,233843.1
"매출액규모별","5천만원~1억원 미만","소계",소계,배달대행,이용여부 (%),예,5.5,12.7
"매출액규모별","5천만원~1억원 미만","소계",소계,배달대행,이용여부 (%),아니오,94.5,87.3
"매출액규모별","5천만원~1억원 미만","소계",소계,배달대행,월평균 비용,5만원 미만 (%),9.8,7.1
"매출액규모별","5천만원~1억원 미만","소계",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),23.8,17.0
"매출액규모별","5천만원~1억원 미만","소계",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),33.8,53.0
"매출액규모별","5천만원~1억원 미만","소계",소계,배달대행,월평균 비용,50만원 이상 (%),32.7,19.9
"매출액규모별","5천만원~1억원 미만","소계",소계,배달대행,월평균 비용,모름 (%),-,3.1
"매출액규모별","5천만원~1억원 미만","소계",소계,배달대행,월평균 비용,평균 (원),529708.2,417852.9
"매출액규모별","1억원~5억원 미만","소계",소계,배달앱,이용여부 (%),예,13.8,23.2
"매출액규모별","1억원~5억원 미만","소계",소계,배달앱,이용여부 (%),아니오,86.2,76.8
"매출액규모별","1억원~5억원 미만","소계",소계,배달앱,월평균 비용,5만원 미만 (%),5.2,5.1
"매출액규모별","1억원~5억원 미만","소계",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),23.7,22.1
"매출액규모별","1억원~5억원 미만","소계",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),56.3,47.9
"매출액규모별","1억원~5억원 미만","소계",소계,배달앱,월평균 비용,50만원 이상 (%),14.8,20.3
"매출액규모별","1억원~5억원 미만","소계",소계,배달앱,월평균 비용,모름 (%),-,4.7
"매출액규모별","1억원~5억원 미만","소계",소계,배달앱,월평균 비용,평균 (원),313140.8,382625.9
"매출액규모별","1억원~5억원 미만","소계",소계,배달대행,이용여부 (%),예,12.3,18.0
"매출액규모별","1억원~5억원 미만","소계",소계,배달대행,이용여부 (%),아니오,87.7,82.0
"매출액규모별","1억원~5억원 미만","소계",소계,배달대행,월평균 비용,5만원 미만 (%),7.0,7.3
"매출액규모별","1억원~5억원 미만","소계",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),16.1,12.6
"매출액규모별","1억원~5억원 미만","소계",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),35.6,36.7
"매출액규모별","1억원~5억원 미만","소계",소계,배달대행,월평균 비용,50만원 이상 (%),41.2,38.3
"매출액규모별","1억원~5억원 미만","소계",소계,배달대행,월평균 비용,모름 (%),-,5.0
"매출액규모별","1억원~5억원 미만","소계",소계,배달대행,월평균 비용,평균 (원),644305.3,907715.3
"매출액규모별","5억원 이상","소계",소계,배달앱,이용여부 (%),예,19.1,28.1
"매출액규모별","5억원 이상","소계",소계,배달앱,이용여부 (%),아니오,80.9,71.9
"매출액규모별","5억원 이상","소계",소계,배달앱,월평균 비용,5만원 미만 (%),0.0,9.1
"매출액규모별","5억원 이상","소계",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),10.8,13.6
"매출액규모별","5억원 이상","소계",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),33.9,48.9
"매출액규모별","5억원 이상","소계",소계,배달앱,월평균 비용,50만원 이상 (%),55.2,22.9
"매출액규모별","5억원 이상","소계",소계,배달앱,월평균 비용,모름 (%),-,5.6
"매출액규모별","5억원 이상","소계",소계,배달앱,월평균 비용,평균 (원),559147.5,492248.7
"매출액규모별","5억원 이상","소계",소계,배달대행,이용여부 (%),예,15.8,19.4
"매출액규모별","5억원 이상","소계",소계,배달대행,이용여부 (%),아니오,84.2,80.6
"매출액규모별","5억원 이상","소계",소계,배달대행,월평균 비용,5만원 미만 (%),0.0,6.2
"매출액규모별","5억원 이상","소계",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),12.7,11.3
"매출액규모별","5억원 이상","소계",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),72.4,13.9
"매출액규모별","5억원 이상","소계",소계,배달대행,월평균 비용,50만원 이상 (%),14.9,64.2
"매출액규모별","5억원 이상","소계",소계,배달대행,월평균 비용,모름 (%),-,4.3
"매출액규모별","5억원 이상","소계",소계,배달대행,월평균 비용,평균 (원),419694.2,5115009.7
