시도명,구역,항목,2019,2020
경기도,생활폐기물 관리구역,세대수 (가구),5468920,5676401
경기도,생활폐기물 관리제외지역,면적 (km²),0,0
경기도,생활폐기물 관리제외지역,인구 (명),0,0
경기도,생활폐기물 관리제외지역,동(읍·면)수 (개),0,0
경기도,생활폐기물 관리제외지역,세대수 (가구),0,0
강원도,전체 행정구역,면적 (km²),16875,16876
강원도,전체 행정구역,인구 (명),1560571,1560172
강원도,전체 행정구역,동(읍·면)수 (개),193,193
강원도,전체 행정구역,세대수 (가구),719524,736301
강원도,생활폐기물 관리구역,면적 (km²),16465,16643
강원도,생활폐기물 관리구역,인구 (명),1558268,1557978
강원도,생활폐기물 관리구역,동(읍·면)수 (개),193,193
강원도,생활폐기물 관리구역,세대수 (가구),718664,735594
강원도,생활폐기물 관리제외지역,면적 (km²),410,233
강원도,생활폐기물 관리제외지역,인구 (명),2303,2194
강원도,생활폐기물 관리제외지역,동(읍·면)수 (개),0,0
강원도,생활폐기물 관리제외지역,세대수 (가구),860,707
충청북도,전체 행정구역,면적 (km²),7406,7406
충청북도,전체 행정구역,인구 (명),1633854,1637897
충청북도,전체 행정구역,동(읍·면)수 (개),153,153
충청북도,전체 행정구역,세대수 (가구),722123,745644
충청북도,생활폐기물 관리구역,면적 (km²),7391,7391
충청북도,생활폐기물 관리구역,인구 (명),1633834,1637877
충청북도,생활폐기물 관리구역,동(읍·면)수 (개),153,153
충청북도,생활폐기물 관리구역,세대수 (가구),722112,745633
충청북도,생활폐기물 관리제외지역,면적 (km²),15,15
충청북도,생활폐기물 관리제외지역,인구 (명),20,20
충청북도,생활폐기물 관리제외지역,동(읍·면)수 (개),0,0
충청북도,생활폐기물 관리제외지역,세대수 (가구),11,11
충청남도,전체 행정구역,면적 (km²),8245,8246
충청남도,전체 행정구역,인구 (명),2194384,2185575
충청남도,전체 행정구역,동(읍·면)수 (개),207,207
충청남도,전체 행정구역,세대수 (가구),959255,983153
충청남도,생활폐기물 관리구역,면적 (km²),8220,8220
충청남도,생활폐기물 관리구역,인구 (명),2191142,2182333
충청남도,생활폐기물 관리구역,동(읍·면)수 (개),207,207
충청남도,생활폐기물 관리구역,세대수 (가구),957539,981437
충청남도,생활폐기물 관리제외지역,면적 (km²),25,25
충청남도,생활폐기물 관리제외지역,인구 (명),3242,3242
충청남도,생활폐기물 관리제외지역,동(읍·면)수 (개),0,0
충청남도,생활폐기물 관리제외지역,세대수 (가구),1716,1716
전라북도,전체 행정구역,면적 (km²),8069,8069
전라북도,전체 행정구역,인구 (명),1849962,1835392
전라북도,전체 행정구역,동(읍·면)수 (개),243,243
전라북도,전체 행정구역,세대수 (가구),816191,836660
전라북도,생활폐기물 관리구역,면적 (km²),8054,8054
전라북도,생활폐기물 관리구역,인구 (명),1847489,1833233
전라북도,생활폐기물 관리구역,동(읍·면)수 (개),242,242
전라북도,생활폐기물 관리구역,세대수 (가구),815022,835648
전라북도,생활폐기물 관리제외지역,면적 (km²),15,15
전라북도,생활폐기물 관리제외지역,인구 (명),2473,2159
전라북도,생활폐기물 관리제외지역,동(읍·면)수 (개),1,1
전라북도,생활폐기물 관리제외지역,세대수 (가구),1169,1012
전라남도,전체 행정구역,면적 (km²),12345,12348
전라남도,전체 행정구역,인구 (명),1903383,1884455
전라남도,전체 행정구역,동(읍·면)수 (개),297,297
전라남도,전체 행정구역,세대수 (가구),872628,893152
전라남도,생활폐기물 관리구역,면적 (km²),12157,12160
전라남도,생활폐기물 관리구역,인구 (명),1893576,1874863
전라남도,생활폐기물 관리구역,동(읍·면)수 (개),296,296
전라남도,생활폐기물 관리구역,세대수 (가구),866581,887063
전라남도,생활폐기물 관리제외지역,면적 (km²),187,187
전라남도,생활폐기물 관리제외지역,인구 (명),9807,9592
전라남도,생활폐기물 관리제외지역,동(읍·면)수 (개),1,1
전라남도,생활폐기물 관리제외지역,세대수 (가구),6047,6089
경상북도,전체 행정구역,면적 (km²),19033,19034
경상북도,전체 행정구역,인구 (명),2719702,2692000
경상북도,전체 행정구역,동(읍·면)수 (개),332,332
경상북도,전체 행정구역,세대수 (가구),1227548,1254662
경상북도,생활폐기물 관리구역,면적 (km²),18962,19031
경상북도,생활폐기물 관리구역,인구 (명),2719509,2691891
경상북도,생활폐기물 관리구역,동(읍·면)수 (개),332,332
경상북도,생활폐기물 관리구역,세대수 (가구),1227447,1254561
경상북도,생활폐기물 관리제외지역,면적 (km²),70,2
경상북도,생활폐기물 관리제외지역,인구 (명),193,109
경상북도,생활폐기물 관리제외지역,동(읍·면)수 (개),0,0
경상북도,생활폐기물 관리제외지역,세대수 (가구),101,101
경상남도,전체 행정구역,면적 (km²),10540,10540
경상남도,전체 행정구역,인구 (명),3438081,3407455
경상남도,전체 행정구역,동(읍·면)수 (개),308,305
경상남도,전체 행정구역,세대수 (가구),1450822,1484601
경상남도,생활폐기물 관리구역,면적 (km²),10483,10484
경상남도,생활폐기물 관리구역,인구 (명),3434980,3404370
경상남도,생활폐기물 관리구역,동(읍·면)수 (개),308,305
경상남도,생활폐기물 관리구역,세대수 (가구),1449042,1482783
경상남도,생활폐기물 관리제외지역,면적 (km²),56,55
경상남도,생활폐기물 관리제외지역,인구 (명),3101,3085
경상남도,생활폐기물 관리제외지역,동(읍·면)수 (개),0,0
경상남도,생활폐기물 관리제외지역,세대수 (가구),1780,1818
제주특별자치도,전체 행정구역,면적 (km²),1850,1850
제주특별자치도,전체 행정구역,인구 (명),696657,697578
제주특별자치도,전체 행정구역,동(읍·면)수 (개),43,43
제주특별자치도,전체 행정구역,세대수 (가구),293155,302033
제주특별자치도,생활폐기물 관리구역,면적 (km²),1850,1850
제주특별자치도,생활폐기물 관리구역,인구 (명),696657,697578
제주특별자치도,생활폐기물 관리구역,동(읍·면)수 (개),43,43
제주특별자치도,생활폐기물 관리구역,세대수 (가구),293155,302033
제주특별자치도,생활폐기물 관리제외지역,면적 (km²),0,0
제주특별자치도,생활폐기물 관리제외지역,인구 (명),0,0
제주특별자치도,생활폐기물 관리제외지역,동(읍·면)수 (개),0,0
제주특별자치도,생활폐기물 관리제외지역,세대수 (가구),0,0
