iter	Passed	Remaining
531	121	563
532	121	562
533	121	562
534	122	562
535	122	562
536	122	561
537	122	561
538	122	560
539	122	560
540	123	559
541	123	559
542	123	559
543	123	558
544	123	558
545	124	557
546	124	557
547	124	557
548	124	556
549	124	556
550	125	556
551	125	555
552	125	555
553	125	555
554	126	555
555	126	554
556	126	554
557	126	554
558	126	554
559	127	553
560	127	553
561	127	552
562	127	552
563	127	552
564	128	552
565	128	551
566	128	551
567	128	551
568	129	551
569	129	550
570	129	550
571	129	550
572	129	550
573	130	550
574	130	549
575	130	549
576	130	549
577	130	548
578	131	548
579	131	548
580	131	547
581	131	547
582	132	547
583	132	547
584	132	546
585	132	546
586	132	545
587	133	545
588	133	545
589	133	545
590	133	545
591	134	545
592	134	544
593	134	544
594	134	544
595	134	544
596	135	543
597	135	543
598	135	543
599	135	543
600	136	543
601	136	542
602	136	542
603	136	542
604	136	541
605	137	541
606	137	541
607	137	541
608	137	541
609	138	540
610	138	540
611	138	540
612	138	540
613	139	540
614	139	540
615	139	540
616	139	540
617	140	540
618	140	539
619	140	539
620	140	539
621	140	538
622	141	538
623	141	538
624	141	538
625	141	538
626	142	537
627	142	537
628	142	537
629	142	536
630	142	536
631	143	536
632	143	535
633	143	535
634	143	535
635	143	534
636	144	534
637	144	535
638	144	535
639	145	535
640	145	534
641	150	551
642	150	551
643	150	550
644	150	550
645	151	550
646	151	550
647	151	550
648	151	550
649	152	549
650	152	549
651	152	549
652	152	549
653	153	549
654	153	549
655	153	549
656	153	548
657	154	548
658	154	548
659	154	547
660	154	547
661	154	547
662	155	546
663	155	546
664	155	545
665	155	545
666	155	545
667	156	545
668	156	544
669	156	544
670	156	544
671	157	544
672	157	544
673	157	543
674	157	543
675	157	542
676	158	542
677	158	542
678	158	541
679	158	541
680	158	541
681	159	540
682	159	540
683	159	539
684	159	539
685	159	539
686	160	538
687	160	538
688	160	538
689	160	537
690	160	537
691	161	537
692	161	537
693	161	537
694	161	536
695	162	536
696	162	536
697	162	535
698	162	535
699	162	535
700	163	534
701	163	534
702	163	533
703	163	534
704	164	534
705	164	534
706	164	534
707	164	534
708	165	533
709	165	533
710	165	533
711	165	532
712	166	532
713	166	532
714	166	531
715	166	531
716	167	531
717	167	531
718	167	531
719	167	531
720	168	531
721	168	530
722	168	530
723	168	530
724	168	529
725	169	529
726	169	529
727	169	528
728	169	529
729	170	529
730	170	528
731	170	529
732	171	529
733	171	528
734	171	528
735	171	528
736	171	527
737	172	527
738	173	529
739	173	529
740	173	529
741	173	528
742	174	528
743	174	528
744	174	527
745	174	527
746	174	527
747	174	526
748	175	526
749	175	525
750	175	525
751	175	525
752	175	524
753	175	524
754	176	523
755	176	523
756	176	523
757	176	522
758	176	522
759	177	521
760	177	521
761	177	521
762	177	520
763	177	520
764	178	520
765	178	519
766	178	519
767	178	519
768	178	518
769	179	518
770	179	518
771	179	517
772	179	517
773	179	517
774	179	516
775	180	516
776	180	515
777	180	515
778	180	515
779	180	514
780	181	514
781	181	514
782	181	513
783	181	513
784	181	513
785	181	512
786	182	512
787	182	512
788	182	511
789	182	511
790	183	511
791	183	511
792	183	510
793	183	510
794	183	510
795	184	509
796	184	509
797	184	509
798	184	509
799	185	509
800	185	508
801	185	508
802	185	508
803	185	507
804	186	507
805	186	507
806	186	506
807	186	506
808	186	506
809	187	505
810	187	505
811	187	505
812	187	505
813	187	504
814	188	504
815	188	503
816	188	503
817	188	503
818	188	502
819	189	502
820	189	502
821	189	501
822	189	501
823	189	501
824	190	501
825	190	500
826	190	500
827	190	499
828	190	499
829	191	499
830	191	499
831	191	498
832	191	498
833	191	498
834	192	497
835	192	497
836	192	497
837	192	496
838	192	496
839	192	496
840	193	495
841	193	495
842	193	495
843	193	494
844	193	494
845	194	494
846	194	493
847	194	493
848	194	493
849	195	493
850	195	493
851	195	492
852	195	492
853	196	492
854	196	492
855	196	492
856	196	492
857	196	491
858	197	491
859	197	491
860	197	491
861	197	490
862	198	490
863	198	490
864	198	489
865	198	489
866	198	489
867	199	489
868	199	489
869	199	489
870	200	489
871	200	489
872	200	488
873	200	488
874	200	488
875	201	487
876	201	487
877	201	487
878	201	486
879	201	486
880	202	486
881	202	486
882	202	485
883	202	485
884	202	484
885	203	484
886	203	484
887	203	483
888	203	483
889	203	483
890	204	482
891	204	482
892	204	482
893	204	481
894	204	481
895	204	481
896	205	480
897	205	480
898	205	480
899	205	479
900	205	479
901	206	479
902	206	478
903	206	478
904	206	478
905	207	480
906	207	479
907	208	479
908	208	479
909	208	479
910	208	478
911	208	478
912	209	478
913	209	477
914	209	477
915	209	477
916	209	476
917	210	476
918	210	476
919	210	475
920	210	475
921	210	475
922	211	474
923	211	474
924	211	474
925	211	473
926	211	473
927	212	473
928	212	473
929	212	472
930	212	472
931	212	472
932	212	471
933	213	471
934	213	471
935	213	470
936	213	470
937	213	470
938	214	470
939	214	469
940	214	469
941	215	469
942	215	469
943	215	469
944	215	468
945	215	468
946	216	468
947	216	468
948	216	467
949	216	467
950	216	467
951	217	467
952	217	466
953	217	466
954	217	466
955	217	465
956	218	465
957	218	465
958	218	465
959	218	465
960	219	464
961	219	464
962	219	464
963	219	463
964	219	463
965	220	463
966	220	462
967	220	462
968	220	462
969	220	461
970	220	461
971	221	461
972	221	461
973	222	462
974	222	461
975	222	461
976	222	461
977	223	461
978	223	461
979	223	461
980	223	460
981	224	460
982	224	460
983	224	459
984	224	459
985	224	459
986	225	459
987	225	458
988	225	458
989	225	458
990	225	457
991	226	457
992	226	457
993	226	456
994	226	456
995	226	456
996	227	456
997	227	455
998	227	455
999	227	455
1000	227	455
1001	228	454
1002	228	454
1003	228	454
1004	228	454
1005	229	454
1006	229	454
1007	229	453
1008	229	453
1009	230	453
1010	230	452
1011	230	452
1012	230	452
1013	231	452
1014	231	452
1015	231	452
1016	231	452
1017	232	451
1018	232	451
1019	232	451
1020	232	450
1021	233	451
1022	233	450
1023	233	450
1024	233	450
1025	234	450
1026	234	450
1027	234	450
1028	234	449
1029	235	449
1030	235	449
1031	235	449
1032	235	449
1033	236	448
1034	236	448
1035	236	448
1036	236	448
1037	237	448
1038	237	448
1039	237	448
1040	238	448
1041	238	447
1042	238	447
1043	238	447
1044	238	446
1045	239	446
1046	239	446
1047	239	446
1048	239	446
1049	240	445
1050	240	445
1051	240	445
1052	242	448
1053	243	449
1054	243	449
1055	243	448
1056	244	448
1057	244	448
1058	244	447
1059	244	447
1060	244	447
1061	245	447
1062	245	447
1063	245	446
1064	245	446
1065	245	446
1066	246	445
1067	246	445
1068	246	445
1069	246	445
1070	246	444
1071	247	444
1072	247	444
1073	247	443
1074	247	443
1075	247	443
1076	248	443
1077	248	442
1078	248	442
1079	248	442
1080	248	441
1081	249	441
1082	249	441
1083	249	441
1084	249	440
1085	249	440
1086	250	440
1087	250	439
1088	250	439
1089	250	439
1090	250	438
1091	250	438
1092	251	438
1093	251	437
1094	251	437
1095	251	437
1096	251	436
1097	252	436
1098	252	436
1099	252	435
1100	252	435
1101	252	435
1102	252	435
1103	253	434
1104	253	434
1105	253	434
1106	253	433
1107	253	433
1108	254	433
1109	254	432
1110	254	432
1111	254	432
1112	254	432
1113	254	431
1114	255	431
1115	255	431
1116	255	430
1117	255	430
1118	255	430
1119	256	429
1120	256	429
1121	256	429
1122	256	429
1123	257	429
1124	257	428
1125	257	428
1126	257	428
1127	258	428
1128	258	428
1129	258	428
1130	258	427
1131	259	427
1132	259	427
1133	259	427
1134	260	427
1135	260	427
1136	260	426
1137	260	426
1138	261	426
1139	261	426
1140	261	426
1141	261	425
1142	261	425
1143	262	425
1144	262	425
1145	262	424
1146	262	424
1147	263	424
1148	263	424
1149	263	423
1150	263	423
1151	263	423
1152	264	422
1153	264	422
1154	264	422
1155	265	423
1156	265	423
1157	266	423
1158	266	422
1159	266	422
1160	266	422
1161	266	421
1162	266	421
1163	267	421
1164	267	421
1165	267	420
1166	267	420
1167	267	420
1168	268	419
1169	268	419
1170	268	419
1171	268	419
1172	269	419
1173	269	418
1174	269	418
1175	269	418
1176	269	418
1177	270	417
1178	270	418
1179	270	417
1180	271	417
1181	271	417
1182	271	416
1183	271	416
1184	271	416
1185	272	416
1186	272	416
1187	272	415
1188	272	415
1189	273	415
1190	273	415
1191	273	414
1192	273	414
1193	273	414
1194	274	413
1195	274	413
1196	274	413
1197	274	413
1198	274	412
1199	274	412
1200	275	412
1201	275	411
1202	275	411
